;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;420;770;469;786;778.0;;1;[np.float64(910.0), np.float64(960.0)];[np.float64(0.15727093219754806), np.float64(0.6260532379150163)];450.0;250.0;2;2.4834;2.2597;576.5379289066091;2.37;225.0;250.0
1;1;could;477;770;526;786;778.0;0.0;1;[np.float64(907.0), np.float64(908.0), np.float64(911.0), np.float64(961.0)];[np.float64(1.0767189025879134), np.float64(0.0), np.float64(0.0), np.float64(0.0)];934.0;200.0;4;2.5149;2.3025;519.5379289066091;2.41;233.5;334.0
2;2;be;535;770;556;786;778.0;0.0;1;[np.float64(912.0), np.float64(962.0)];[np.float64(2.7729508638382185), np.float64(0.0)];417.0;234.0;2;2.466;2.2143;489.53792890660907;2.34;208.5;234.0
3;3;a;565;774;575;786;780.0;2.0;1;[np.float64(909.0), np.float64(914.0), np.float64(963.0)];[np.float64(2.3345277070999373), np.float64(10.516266560554527), np.float64(3.9771656036376726)];550.0;200.0;3;2.4876;2.2433;470.53792890660907;2.37;183.3333;1051.0
4;4;reason;584;774;646;786;780.0;0.0;1;[np.float64(913.0), np.float64(915.0), np.float64(959.0)];[np.float64(7.17950431108477), np.float64(4.134918665885948), np.float64(0.0)];601.0;267.0;3;2.4604;2.2268;399.53792890660907;2.34;200.3333;617.0
5;5;the;655;770;684;786;778.0;2.0;1;[np.float64(916.0), np.float64(918.0), np.float64(965.0)];[np.float64(2.742707371395413), np.float64(0.0), np.float64(0.0)];750.0;300.0;3;2.4257;2.2067;361.53792890660907;2.32;250.0;300.0
6;6;people;693;770;755;790;780.0;2.0;1;[np.float64(917.0), np.float64(920.0), np.float64(921.0), np.float64(964.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)];983.0;167.0;4;2.4055;2.2387;290.53792890660907;2.32;245.75;384.0
7;7;in;764;770;778;786;778.0;2.0;1;[np.float64(922.0), np.float64(966.0)];[np.float64(2.3226253132945613), np.float64(0.0)];466.0;233.0;2;2.3622;2.218;267.53792890660907;2.29;233.0;233.0
8;8;the;786;770;815;786;778.0;0.0;1;[np.float64(919.0)];[np.float64(0.0)];284.0;284.0;1;2.3564;2.2658;230.53792890660907;2.31;284.0;1150.0
9;9;image;824;770;880;790;780.0;2.0;1;[np.float64(923.0), np.float64(967.0), np.float64(968.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0)];766.0;250.0;3;2.3367;2.2174;165.53792890660907;2.28;255.3333;250.0
10;10;are;888;774;917;786;780.0;0.0;1;[];[];0.0;0.0;0;;;128.53792890660907;;;
11;11;playing;926;770;991;790;780.0;0.0;1;[np.float64(924.0), np.float64(925.0), np.float64(969.0)];[np.float64(1.121985054016136), np.float64(0.0), np.float64(0.0)];766.0;267.0;3;2.3472;2.2427;54.53792890660907;2.29;255.3333;550.0
12;12;Wii;1000;770;1027;786;778.0;2.0;1;[np.float64(958.0)];[np.float64(0.0)];108.0;108.0;1;2.3407;2.1899;18.537928906609068;2.27;108.0;2439.0
13;13;at;1036;771;1053;786;778.5;0.5;1;[np.float64(926.0), np.float64(928.0), np.float64(971.0)];[np.float64(0.0), np.float64(2.142687225341888), np.float64(0.0)];658.0;300.0;3;2.3624;2.1684;0.0;2.27;219.3333;300.0
14;14;work?;1060;770;1115;786;778.0;0.5;1;[np.float64(927.0), np.float64(929.0), np.float64(970.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0)];565.0;75.0;3;2.4117;2.1607;14.462071093390932;2.29;188.3333;3362.0
