;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;73;117.6164;154.4795;0.7671;2.8979;0.7193;364.6512;11277.0;28.1;0.4247;0.5616;0.411;0.5753;0.3288;0.6575;mohammed;1
1;28;122.4286;157.25;0.7857;2.8747;0.5652;329.1765;4403.0;28.2;0.4643;0.5;0.5;0.4643;0.3929;0.5714;mohammed;1
2;41;111.1951;144.1463;0.8049;2.9062;0.6765;249.0769;5910.0;2.1;0.4878;0.4878;0.4878;0.4878;0.3659;0.6098;mohammed;1
3;30;117.5333;226.1;1.1;2.8553;0.6471;452.1053;6783.0;2.2;0.4333;0.5333;0.4333;0.5333;0.4333;0.5333;mohammed;1
4;120;146.9583;192.7583;0.9333;2.7849;0.7168;323.131;23131.0;25.1;0.4917;0.5;0.45;0.5417;0.325;0.6667;mohammed;1
5;116;133.2931;145.5776;0.6897;2.8097;0.7654;272.5915;16887.0;25.2;0.4483;0.5431;0.4397;0.5517;0.3448;0.6466;mohammed;1
6;108;129.9352;177.9722;0.8611;2.7446;0.7234;323.1791;19221.0;3.1;0.4444;0.5463;0.463;0.5278;0.3519;0.6389;mohammed;1
7;39;101.5128;123.2821;0.641;2.77;0.7308;250.0;4808.0;3.2;0.4103;0.5641;0.4103;0.5641;0.3333;0.641;mohammed;1
8;115;116.8522;153.9826;0.8087;2.7189;0.7447;277.8451;17708.0;19.1;0.4348;0.5565;0.4435;0.5478;0.3391;0.6522;mohammed;1
9;19;144.6842;221.5263;1.1053;2.8033;0.7273;377.8333;4209.0;19.2;0.4211;0.5263;0.4737;0.4737;0.3158;0.6316;mohammed;1
10;7;128.5714;220.1429;0.8571;2.9633;0.4286;702.6667;1541.0;18.2;0.4286;0.4286;0.2857;0.5714;0.4286;0.4286;mohammed;1
11;8;157.25;595.875;2.375;2.87;0.25;1008.4;4767.0;18.1;0.375;0.5;0.5;0.375;0.375;0.5;mohammed;1
12;93;137.8172;174.1075;0.8495;2.6756;0.75;278.2581;16192.0;10.1;0.4301;0.5591;0.4516;0.5376;0.3011;0.6882;mohammed;1
13;72;107.1667;124.7778;0.6806;2.7667;0.7;238.1429;8984.0;10.2;0.4583;0.5278;0.4444;0.5417;0.3611;0.625;mohammed;1
14;3;202.6667;452.6667;2.6667;2.845;0.3333;644.3333;1358.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;mohammed;1
15;14;179.9286;248.9286;1.0714;2.8473;0.625;334.2727;3485.0;29.2;0.2857;0.6429;0.4286;0.5;0.2857;0.6429;mohammed;1
16;34;130.6176;185.2941;0.7647;2.7167;0.5926;388.8333;6300.0;20.2;0.4706;0.5;0.4412;0.5294;0.4412;0.5294;mohammed;1
17;89;109.9551;123.8876;0.618;2.7038;0.7857;252.4375;11026.0;20.1;0.4045;0.5843;0.382;0.6067;0.3596;0.6292;mohammed;1
18;12;223.5833;749.25;3.5;2.7742;0.4884;867.4167;8991.0;23.2;0.5;0.4167;0.4167;0.5;0.3333;0.5833;mohammed;1
19;41;134.5122;160.9024;0.8293;2.6685;0.7429;250.5185;6597.0;23.1;0.4146;0.561;0.3902;0.5854;0.3659;0.6098;mohammed;1
20;101;116.0099;146.297;0.7228;2.6125;0.7432;287.375;14776.0;4.2;0.4059;0.5842;0.4455;0.5446;0.3465;0.6436;mohammed;1
21;82;98.2683;107.122;0.5122;2.6787;0.814;248.8947;8784.0;4.1;0.378;0.6098;0.3659;0.622;0.3049;0.6829;mohammed;1
22;57;102.193;111.4035;0.5965;2.6829;0.8;223.9032;6350.0;6.2;0.4912;0.4912;0.4912;0.4912;0.3333;0.6491;mohammed;1
23;58;105.6034;124.3103;0.6552;2.637;0.7436;257.3636;7210.0;6.1;0.431;0.5517;0.431;0.5517;0.4138;0.569;mohammed;1
24;48;94.8125;107.1458;0.625;2.7131;0.6774;242.0385;5143.0;22.1;0.4167;0.5625;0.3958;0.5833;0.3125;0.6667;mohammed;1
25;8;118.625;520.75;1.25;2.6867;0.1818;1483.0;4166.0;22.2;0.375;0.5;0.25;0.625;0.375;0.5;mohammed;1
26;15;175.1333;311.4;1.5333;2.6667;0.5833;447.5833;4671.0;11.2;0.4667;0.4667;0.5333;0.4;0.4;0.5333;mohammed;1
27;7;97.5714;136.8571;0.7143;2.6667;0.3333;319.3333;958.0;11.1;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;mohammed;1
28;76;147.8158;189.4605;0.8684;2.5649;0.7761;329.4118;14399.0;12.2;0.4605;0.5263;0.4737;0.5132;0.3684;0.6184;mohammed;1
29;16;138.125;157.375;0.75;2.572;0.6154;294.4;2518.0;12.1;0.5625;0.375;0.5625;0.375;0.375;0.5625;mohammed;1
30;30;144.7333;166.6333;0.7667;2.6194;0.7917;271.8947;4999.0;8.1;0.4;0.5667;0.4;0.5667;0.3333;0.6333;mohammed;1
31;16;135.5;271.375;1.25;2.516;0.6667;434.2;4342.0;8.2;0.4375;0.5;0.4375;0.5;0.375;0.5625;mohammed;1
32;90;134.3889;155.6111;0.7444;2.659;0.8088;246.9661;14005.0;27.2;0.4222;0.5667;0.4222;0.5667;0.3222;0.6667;mohammed;1
33;73;118.7534;144.2055;0.6301;2.6165;0.766;317.8378;10527.0;27.1;0.3562;0.6301;0.3562;0.6301;0.274;0.7123;mohammed;1
34;110;130.7364;173.9364;0.8091;2.4958;0.7556;333.8182;19133.0;24.2;0.4455;0.5455;0.4182;0.5727;0.3455;0.6455;mohammed;1
35;106;110.0283;145.5189;0.7075;2.6711;0.75;352.3036;15425.0;24.1;0.3962;0.5943;0.4057;0.5849;0.2925;0.6981;mohammed;1
36;15;136.1333;150.5333;0.7333;2.62;0.75;225.8;2258.0;15.1;0.5333;0.4;0.5333;0.4;0.3333;0.6;mohammed;1
37;66;133.0909;183.8788;0.8788;2.4784;0.7458;331.4651;12136.0;15.2;0.5;0.4848;0.4848;0.5;0.3333;0.6515;mohammed;1
38;38;110.6842;150.1316;0.8684;2.7156;0.6471;530.32;5705.0;16.2;0.3947;0.5789;0.4474;0.5263;0.3158;0.6579;mohammed;1
39;21;84.8571;98.381;0.5238;2.763;0.6667;232.4;2066.0;16.1;0.2381;0.7143;0.2381;0.7143;0.1905;0.7619;mohammed;1
40;2;275.5;887.5;3.0;2.77;0.2857;1054.5;1775.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;mohammed;1
