text;attention
The;0.012203644
image;0.0121556325
is;0.012150771
a;0.012138795
compilation;0.012140886
of;0.012186643
four;0.01214003
photos,;0.012184443
each;0.012141279
depicting;0.012196851
a;0.012140538
man;0.012141884
performing;0.012161595
a;0.012147644
trick;0.012140296
on;0.012214549
a;0.012141058
skateboard.;0.012275076
The;0.012149698
man;0.012142869
is;0.012147403
wearing;0.012160735
a;0.012144742
black;0.012141279
shirt;0.012181959
and;0.0121433735
jeans;0.012190407
throughout;0.012143914
the;0.012152776
sequence.;0.012225966
In;0.012146358
the;0.012153203
first;0.012143982
photo,;0.012171987
the;0.012140514
man;0.012144602
is;0.01215034
at;0.012143404
the;0.012146148
top;0.012143779
of;0.012150099
a;0.012140705
ramp,;0.012219617
preparing;0.012164158
to;0.0121456385
drop;0.012148673
in;0.01218838
and;0.012160517
ride;0.012165254
his;0.012184129
skateboard;0.012198906
down;0.012147051
the;0.012148569
ramp.;0.012195479
The;0.012146071
following;0.012143977
three;0.012150882
photos;0.0121603925
show;0.012156024
him;0.012150315
in;0.012158189
mid-air,;0.012271788
executing;0.012145679
a;0.012181281
trick;0.012150247
that;0.01219871
involves;0.0121641345
jumping;0.012190784
over;0.012152969
a;0.012167654
ledge.;0.012277003
The;0.012160018
sequence;0.012147226
captures;0.012195159
the;0.012150873
motion;0.012150563
and;0.012164422
excitement;0.012154071
of;0.012163819
the;0.012155138
skateboarder's;0.014624256
performance.;0.0122001385
