text;attention
No,;0.02565756
there;0.0030722278
is;0.004428243
no;0.003620143
chicken;0.004739429
in;0.004170648
this;0.0037078494
image.;0.13577007
The;0.05766571
image;0.0061714966
shows;0.005116353
a;0.008558772
street;0.004759262
scene;0.004610601
with;0.0054978128
cows.;0.16153523
There;0.0033247268
is;0.0050631906
a;0.011682033
white;0.0037291292
cow;0.004485451
with;0.0048272344
a;0.0060323672
bell;0.0035915386
around;0.0034212715
its;0.003448375
neck;0.0036552476
looking;0.0037895534
directly;0.003195762
at;0.00424072
the;0.08527493
camera,;0.03901447
and;0.006680591
another;0.0034900864
cow;0.0052893893
in;0.003768405
front;0.0034232973
of;0.003940611
it;0.003563529
seen;0.0038238957
from;0.0035617484
behind.;0.07995091
There;0.0032304567
are;0.005416239
also;0.0035588904
people;0.0046535614
in;0.003919457
the;0.03661931
background,;0.037169766
but;0.0035207565
no;0.0032615962
chickens;0.0046708114
are;0.0046092733
visible;0.003483708
in;0.0038844757
the;0.049931023
photograph.;0.08672088
