;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;13.1;False;False;14.24;19.14;;;;0
1;13.2;False;False;14.48;22.9;;;;0
2;30.1;False;False;27.98;35.94;;;16.4;1
3;30.2;False;False;6.43;40.47;;;;0
4;7.1;False;False;15.29;36.0;;;;0
5;7.2;False;True;9.83;4.98;;;;0
6;18.1;False;True;13.8;10.47;;;;0
7;18.2;False;True;6.11;2.0;;;;0
8;29.1;False;False;13.19;14.09;;;;0
9;29.2;False;False;12.6;91.6;;;;0
10;2.1;False;True;15.6;11.96;;;;0
11;2.2;False;False;16.97;21.01;;;;0
12;6.1;False;False;13.88;17.96;;;;0
13;6.2;False;True;17.22;7.45;;;;0
14;22.1;False;False;17.7;22.15;;;;0
15;22.2;False;True;20.96;19.96;;;;0
16;15.1;False;True;15.71;10.71;;;;0
17;15.2;False;False;21.87;23.59;;;;0
18;8.2;False;False;14.01;22.64;;;;0
19;8.1;False;False;13.79;23.0;;;;0
20;19.1;False;False;20.09;25.57;;;;0
21;19.2;False;False;20.01;52.33;;;;0
22;12.1;False;True;11.89;8.37;;;;0
23;12.2;False;False;10.3;18.01;;;;0
24;11.1;False;True;12.15;4.19;;;;0
25;11.2;False;True;21.49;11.03;;;;0
26;27.2;False;False;17.39;34.47;;;;0
27;27.1;False;False;15.27;26.01;;;;0
28;17.2;False;False;11.61;33.84;;;;0
29;17.1;False;False;1.86;69.67;;;;0
30;24.1;False;False;16.21;18.13;;;;0
31;24.2;False;True;20.47;9.25;;;;0
32;3.2;False;False;5.02;83.14;;;;0
33;3.1;False;False;17.95;58.47;;;;0
34;25.2;False;False;20.89;27.1;;;;0
35;25.1;False;False;23.04;61.98;;;;0
36;5.2;False;False;15.83;39.28;;;;0
37;5.1;False;False;8.86;30.08;;;;0
38;23.1;False;False;13.43;38.67;;;;0
39;23.2;False;False;9.32;60.76;;;;0
40;26.1;False;False;10.86;44.95;;;;0
41;26.2;False;False;10.44;11.78;;;;0
42;16.2;False;False;14.25;53.26;;;;0
43;16.1;False;False;15.33;74.1;;;;0
44;4.2;False;False;17.1;30.92;;;;0
45;4.1;False;False;7.69;42.43;;;;0
46;9.1;False;False;7.89;23.19;;;;0
47;9.2;False;False;22.41;31.18;;;;0
48;21.2;False;False;17.93;22.63;;;;0
49;21.1;False;False;15.66;42.45;;;;0
50;10.1;False;False;12.45;21.25;;;;0
51;10.2;False;False;7.51;31.87;;;;0
52;20.1;False;False;9.33;24.37;;;;0
53;20.2;False;False;15.4;41.64;;;10.47;1
54;14.2;False;False;10.8;38.49;;;;0
55;14.1;False;False;13.92;28.22;;;;0
56;28.2;False;False;9.93;34.8;;;;0
57;28.1;False;True;10.13;9.99;;;;0
58;1.1;False;False;20.21;30.75;;;;0
59;1.2;False;False;11.03;38.07;;;;0
60;13.0;True;False;;;;;;0
61;30.0;True;False;;;;;;0
62;7.0;True;False;;;;;;0
63;18.0;True;False;;;;;;0
64;29.0;True;False;;;;;;0
65;2.0;True;False;;;;;;0
66;6.0;True;False;;;;;;0
67;22.0;True;False;;;;;;0
68;15.0;False;True;359.53;376.45;91.29;65.99;65.99;1
69;8.0;True;False;;;;;;0
70;19.0;True;False;;;;;;0
71;12.0;True;False;;;;;;0
72;11.0;True;False;;;;;;0
73;27.0;True;False;;;;;;0
74;17.0;True;False;;;;;;0
75;24.0;True;False;;;;;;0
76;3.0;True;False;;;;;;0
77;25.0;True;False;;;;;;0
78;5.0;True;False;;;;;;0
79;23.0;False;True;121.42;58.12;;;;0
80;26.0;True;False;;;;;;0
81;16.0;False;True;120.98;38.16;;;;0
82;4.0;False;True;121.5;48.4;;;;0
83;9.0;True;False;;;;;;0
84;21.0;True;False;;;;;;0
85;10.0;True;False;;;;;;0
86;20.0;True;False;;;;;;0
87;14.0;True;False;;;;;;0
88;28.0;True;False;;;;;;0
89;1.0;True;False;;;;;;0
