;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;477;770;526;786;778.0;;1;[np.float64(2431.0)];[np.float64(3.024778747558571)];167.0;167.0;1;2.3222;2.4643;479.2890123639788;2.39;167.0;167.0
1;1;is;535;770;548;786;778.0;0.0;1;[];[];0.0;0.0;0;;;457.2890123639788;;;
2;2;the;556;770;584;786;778.0;0.0;1;[np.float64(2432.0)];[np.float64(0.0)];167.0;167.0;1;2.3232;2.4613;421.2890123639788;2.39;167.0;167.0
3;3;main;593;770;637;786;778.0;0.0;1;[];[];0.0;0.0;0;;;368.2890123639788;;;
4;4;topic;645;770;690;790;780.0;2.0;1;[np.float64(2433.0)];[np.float64(0.0)];183.0;183.0;1;2.2612;2.3853;315.2890123639788;2.32;183.0;183.0
5;5;of;698;770;715;786;778.0;2.0;1;[];[];0.0;0.0;0;;;290.2890123639788;;;
6;6;the;722;770;751;786;778.0;0.0;1;[];[];0.0;0.0;0;;;254.28901236397883;;;
7;7;report;760;771;814;790;780.5;2.5;1;[np.float64(2434.0)];[np.float64(5.859166365403439)];216.0;216.0;1;2.2577;2.3453;191.28901236397883;2.3;216.0;216.0
8;8;mentioned;823;770;921;786;778.0;2.5;1;[np.float64(2435.0)];[np.float64(2.436263084411621)];250.0;250.0;1;2.2686;2.3488;84.28901236397883;2.31;250.0;250.0
9;9;in;930;770;944;786;778.0;0.0;1;[];[];0.0;0.0;0;;;61.28901236397883;;;
10;10;the;952;770;981;786;778.0;0.0;1;[];[];0.0;0.0;0;;;24.289012363978827;;;
11;11;image?;990;770;1058;790;780.0;2.0;1;[np.float64(2436.0)];[np.float64(0.0)];124.0;124.0;1;2.3105;2.3665;0.0;2.34;124.0;124.0
