text;attention
The;0.016668612
image;0.02686954
shows;0.018438213
two;0.018612945
people;0.018980078
holding;0.021567311
hands,;0.03662185
one;0.018804988
person's;0.031220257
hand;0.019185403
on;0.01899192
top;0.01780015
of;0.018454926
another.;0.03328543
They;0.0212847
are;0.020957848
smiling;0.022737795
and;0.019787908
seem;0.022395456
to;0.017549455
be;0.018531978
at;0.0194486
peace;0.023398787
with;0.019070093
each;0.016651498
other.;0.02806544
This;0.019612964
is;0.019112442
a;0.017050236
beautiful;0.017957883
moment;0.021375222
that;0.018052524
depicts;0.023405872
love;0.029321231
between;0.019257061
two;0.0196564
individuals;0.02135698
who;0.021016408
have;0.019052193
been;0.019830085
together;0.020981582
for;0.020733427
some;0.0231274
time;0.017035753
or;0.020220809
even;0.01597964
forever.;0.030482654
