;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;267;261;303;276;268.5;;1;[];[];0.0;0.0;0;;;963.4304794637151;;;
1;1;purpose;312;265;388;280;272.5;4.0;1;[np.float64(2274.0)];[np.float64(16.831480026245117)];100.0;100.0;1;2.6317;2.85;879.4528258195786;2.74;100.0;100.0
2;2;of;396;261;414;276;268.5;4.0;1;[];[];0.0;0.0;0;;;854.9748621319221;;;
3;3;the;420;261;450;276;268.5;0.0;1;[];[];0.0;0.0;0;;;819.9463275757132;;;
4;4;Om;458;261;490;276;268.5;0.0;1;[np.float64(2275.0)];[np.float64(16.367929458618164)];150.0;150.0;1;2.5703;2.7119;781.1293443340783;2.64;150.0;150.0
5;5;chanting;498;261;579;280;270.5;2.0;1;[];[];0.0;0.0;0;;;694.1420199855604;;;
6;6;in;588;261;602;276;268.5;2.0;1;[];[];0.0;0.0;0;;;673.1790664522142;;;
7;7;the;610;261;639;276;268.5;0.0;1;[];[];0.0;0.0;0;;;637.8238765903535;;;
8;8;image;648;261;704;280;270.5;2.0;1;[];[];0.0;0.0;0;;;574.8849844913855;;;
9;9;is;713;261;726;276;268.5;2.0;1;[np.float64(2276.0)];[np.float64(6.735975824102243)];150.0;150.0;1;2.4958;2.6432;555.536119601263;2.57;150.0;150.0
10;10;to;734;261;751;276;268.5;0.0;1;[];[];0.0;0.0;0;;;532.1675492534602;;;
11;11;promote;760;261;837;280;270.5;2.0;1;[np.float64(2277.0)];[np.float64(7.803153324127152)];166.0;166.0;1;2.4771;2.6401;451.42060362002127;2.56;166.0;166.0
12;12;positive;845;261;918;280;270.5;0.0;1;[np.float64(2278.0)];[np.float64(3.3882731199264526)];200.0;200.0;1;2.4558;2.6233;379.39950333957125;2.54;200.0;200.0
13;13;transformation;925;261;1063;276;268.5;2.0;1;[np.float64(2279.0)];[np.float64(6.886314868926945)];150.0;150.0;1;2.462;2.6302;266.69957964451936;2.55;150.0;150.0
14;14;and;1071;261;1105;276;268.5;0.0;1;[np.float64(2281.0)];[np.float64(0.0)];200.0;200.0;1;2.4012;2.6009;239.6837330341718;2.5;200.0;200.0
15;15;meditation.;1114;261;1217;276;268.5;0.0;1;[np.float64(2280.0), np.float64(2282.0)];[np.float64(0.0), np.float64(0.0)];350.0;150.0;2;2.4292;2.6004;195.48732647126675;2.51;175.0;550.0
