text;attention
A;0.010419077
possible;0.009461057
reason;0.011245122
the;0.010411277
people;0.010385884
in;0.009732381
the;0.009155958
image;0.010671255
are;0.009785454
playing;0.010443547
Wii;0.012473764
at;0.010051314
work;0.014444141
could;0.01059625
be;0.010168727
that;0.011276354
they;0.010135124
enjoy;0.011743371
spending;0.009837246
time;0.010044525
together,;0.018888092
engaging;0.009967032
in;0.010736909
fun;0.0097111985
activities,;0.014309494
and;0.010084894
fostering;0.0116855875
a;0.01006268
sense;0.011695323
of;0.009222116
camaraderie.;0.052454334
Wii;0.0110452315
games;0.010942018
often;0.009831487
involve;0.010259921
physical;0.00970238
movements,;0.012377648
which;0.010042294
can;0.009758071
help;0.01020246
relieve;0.010003682
stress,;0.011258872
promote;0.009666851
teamwork,;0.010734499
and;0.008945392
enhance;0.0096591655
communication;0.0098502245
among;0.01010557
players.;0.017620122
By;0.009921482
playing;0.010341509
together,;0.011614258
they;0.010185563
share;0.009825752
a;0.009503358
common;0.009202416
interest;0.009832771
in;0.009366249
a;0.009626547
fun;0.009378103
and;0.008937656
interactive;0.009006772
way,;0.011324075
which;0.009444963
can;0.009262101
contribute;0.009902838
to;0.009240428
a;0.0088774795
positive;0.009303205
work;0.009194296
environment.;0.013309712
Additionally,;0.014282902
playing;0.009483671
Wii;0.009108263
at;0.008908011
work;0.00920503
might;0.009557292
encourage;0.009888188
employees;0.009497391
to;0.009332916
engage;0.008787726
in;0.00915591
more;0.008776171
physical;0.0090958495
activity,;0.011047868
which;0.009153361
can;0.009208631
lead;0.009072565
to;0.009104752
improved;0.009469143
health;0.0092628095
and;0.008800035
well-being.;0.0098944865
