;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;73.0;160.9041;360.4384;1.3699;3.5633;0.5545;646.2326;26312.0;28.1;0.4247;0.5616;0.3836;0.6027;0.3973;0.589;noemi;1;
1;28.0;193.75;459.8571;1.6786;3.56;0.5208;1012.8947;12876.0;28.2;0.4643;0.5;0.4643;0.5;0.3929;0.5714;noemi;1;
2;12.0;214.5;533.0833;1.5;3.5088;0.4737;868.375;6397.0;1.1;0.4167;0.5;0.25;0.6667;0.4167;0.5;noemi;1;
3;46.0;164.8478;418.587;1.3261;3.4352;0.5968;935.9524;19255.0;1.2;0.2609;0.7174;0.2391;0.7391;0.2391;0.7391;noemi;1;
4;3.0;333.3333;727.6667;2.0;3.435;0.2857;1091.5;2183.0;29.1;0.0;0.6667;0.3333;0.3333;0.0;0.6667;noemi;1;
5;14.0;155.9286;346.4286;1.2857;3.355;0.4737;606.25;4850.0;29.2;0.3571;0.5714;0.5;0.4286;0.3571;0.5714;noemi;1;
6;101.0;173.8812;339.802;1.3168;3.3912;0.6642;571.9062;34320.0;4.2;0.4554;0.5347;0.396;0.5941;0.396;0.5941;noemi;1;
7;82.0;138.6341;206.6463;0.7317;3.4765;0.6393;436.1;16945.0;4.1;0.3902;0.5976;0.3537;0.6341;0.3049;0.6829;noemi;1;
8;85.0;177.8588;264.7059;0.8941;3.3235;0.7273;477.7917;22500.0;26.2;0.3176;0.6706;0.3176;0.6706;0.2588;0.7294;noemi;1;
9;21.0;152.4286;458.7619;1.5714;3.3954;0.5294;769.3077;9634.0;26.1;0.3333;0.619;0.381;0.5714;0.3333;0.619;noemi;1;
10;30.0;152.1667;266.0667;0.9333;3.5183;0.6552;492.5556;7982.0;2.2;0.4333;0.5333;0.4;0.5667;0.3667;0.6;noemi;1;
11;41.0;100.0244;137.8049;0.6341;3.6179;0.6667;307.8947;5650.0;2.1;0.3659;0.6098;0.3659;0.6098;0.2927;0.6829;noemi;1;
12;108.0;169.213;262.1852;0.9907;3.4896;0.6481;414.0429;28316.0;3.1;0.3981;0.5926;0.3981;0.5926;0.3241;0.6667;noemi;1;
13;39.0;125.2564;320.8974;1.1282;3.3576;0.5778;827.2941;12515.0;3.2;0.2564;0.7179;0.2308;0.7436;0.2564;0.7179;noemi;1;
14;38.0;102.2368;172.2105;0.6316;3.332;0.72;474.1333;6544.0;16.2;0.2632;0.7105;0.2105;0.7632;0.2105;0.7632;noemi;1;
15;21.0;132.8571;283.619;0.9524;3.5289;0.4286;661.7778;5956.0;16.1;0.2857;0.6667;0.2857;0.6667;0.2857;0.6667;noemi;1;
16;16.0;198.9375;685.875;2.25;3.6627;0.5676;1059.7273;10974.0;8.2;0.5;0.4375;0.5;0.4375;0.375;0.5625;noemi;1;
17;30.0;166.7333;448.5667;1.7333;3.464;0.4906;741.6;13457.0;8.1;0.3333;0.6333;0.3667;0.6;0.3333;0.6333;noemi;1;
