;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Why;500;770;541;790;780.0;;1;[np.float64(4969.0), np.float64(4971.0)];[np.float64(7.154174327850342), np.float64(12.112046105521017)];350.0;233.0;2;2.4556;2.491;467.7258575439454;2.47;175.0;233.0
1;1;is;549;770;562;786;778.0;2.0;1;[np.float64(4963.0)];[np.float64(0.0)];233.0;233.0;1;2.5299;2.5596;446.7258575439454;2.54;233.0;233.0
2;2;the;570;770;599;786;778.0;0.0;1;[np.float64(4970.0), np.float64(4972.0), np.float64(4993.0)];[np.float64(0.0), np.float64(0.0), np.float64(47.236150355515676)];701.0;217.0;3;2.3763;2.4313;409.7258575439454;2.4;233.6667;718.0
3;3;quote;607;771;660;790;780.5;2.5;1;[np.float64(4994.0)];[np.float64(19.45499038696289)];150.0;150.0;1;2.2357;2.3536;348.7258575439454;2.29;150.0;150.0
4;4;"""Little";668;770;720;786;778.0;2.5;1;[np.float64(4965.0), np.float64(4968.0), np.float64(4973.0), np.float64(4975.0)];[np.float64(1.7035350799560547), np.float64(18.77643367222379), np.float64(0.0), np.float64(0.0)];600.0;150.0;4;2.5137;2.5536;288.7258575439454;2.53;150.0;150.0
5;5;things;728;770;785;790;780.0;2.0;1;[np.float64(4964.0), np.float64(4974.0)];[np.float64(7.170517261211671), np.float64(0.0)];534.0;217.0;2;2.5405;2.6352;223.72585754394538;2.59;267.0;367.0
6;6;can;793;774;825;786;780.0;0.0;1;[np.float64(4966.0), np.float64(4976.0)];[np.float64(15.98004731264973), np.float64(7.574427795410202)];433.0;183.0;2;2.451;2.5054;183.73209737992767;2.48;216.5;183.0
7;7;grow;834;774;879;790;782.0;2.0;1;[];[];0.0;0.0;0;;;129.7346946382544;;;
8;8;"big""";887;770;921;790;780.0;2.0;1;[np.float64(4967.0), np.float64(4977.0)];[np.float64(12.90756274073837), np.float64(17.31402587890625)];284.0;100.0;2;2.4812;2.4893;87.72585754394538;2.49;142.0;2252.0
9;9;significant?;930;770;1035;790;780.0;0.0;1;[np.float64(4978.0), np.float64(4979.0), np.float64(4995.0), np.float64(4996.0)];[np.float64(21.323695755004906), np.float64(11.881423169916388), np.float64(8.336732387542725), np.float64(0.0)];583.0;250.0;4;2.3999;2.3315;0.0;2.37;145.75;833.0
