;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;251;220;288;235;227.5;;1;[];[];0.0;0.0;0;;;823.3822343165709;;;
1;1;image;296;220;352;239;229.5;2.0;1;[np.float64(3498.0), np.float64(3499.0), np.float64(3516.0)];[np.float64(14.496941770826055), np.float64(0.0), np.float64(0.0)];634.0;117.0;3;2.5562;2.563;766.1973993221916;2.56;211.3333;334.0
2;2;depicts;360;220;428;239;229.5;0.0;1;[np.float64(3500.0), np.float64(3517.0)];[np.float64(0.0), np.float64(0.0)];199.0;108.0;2;2.5168;2.5223;702.5538724339987;2.52;99.5;108.0
3;3;a;436;224;446;235;229.5;0.0;1;[];[];0.0;0.0;0;;;690.1866103590565;;;
4;4;man;455;224;494;235;229.5;0.0;1;[np.float64(3501.0)];[np.float64(0.0)];259.0;259.0;1;2.5541;2.5846;651.9200569567183;2.57;259.0;259.0
5;5;and;503;220;537;235;227.5;2.0;1;[np.float64(3515.0), np.float64(3518.0)];[np.float64(15.231644760478616), np.float64(0.9434276060623858)];359.0;183.0;2;2.5773;2.6177;618.7929659184837;2.6;179.5;750.0
6;6;a;545;224;555;235;229.5;2.0;1;[np.float64(3503.0)];[np.float64(0.0)];150.0;150.0;1;2.6512;2.6644;605.2946067817029;2.66;150.0;150.0
7;7;woman;563;224;631;235;229.5;0.0;1;[np.float64(3502.0), np.float64(3519.0)];[np.float64(0.0), np.float64(1.293031605807215)];417.0;233.0;2;2.6575;2.6578;551.1452167468512;2.66;208.5;383.0
8;8;sitting;640;220;695;239;229.5;0.0;1;[np.float64(3504.0), np.float64(3521.0)];[np.float64(0.0), np.float64(0.0)];507.0;241.0;2;2.6738;2.6649;506.72004191947553;2.67;253.5;241.0
9;9;on;703;224;726;235;229.5;0.0;1;[np.float64(3520.0)];[np.float64(2.2925177812576294)];200.0;200.0;1;2.6472;2.6259;491.6608700342446;2.64;200.0;466.0
10;10;a;734;224;744;235;229.5;0.0;1;[np.float64(3505.0)];[np.float64(10.50037143447176)];358.0;358.0;1;2.7087;2.7171;481.67544825499766;2.71;358.0;358.0
11;11;couch;752;220;809;235;227.5;2.0;1;[np.float64(3506.0), np.float64(3510.0), np.float64(3522.0)];[np.float64(2.076862685820629), np.float64(15.524491889339437), np.float64(1.597574055194798)];924.0;566.0;3;2.6572;2.636;449.7879738463952;2.65;308.0;566.0
12;12;in;818;220;832;235;227.5;0.0;1;[np.float64(3508.0)];[np.float64(5.625668883323669)];75.0;75.0;1;2.7137;2.7007;440.25365107112066;2.71;75.0;75.0
13;13;a;840;224;850;235;229.5;2.0;1;[];[];0.0;0.0;0;;;433.49752434157523;;;
14;14;living;859;220;906;239;229.5;0.0;1;[np.float64(3507.0), np.float64(3509.0), np.float64(3523.0)];[np.float64(5.323962281714166), np.float64(7.326923707494272), np.float64(0.0)];1001.0;367.0;3;2.7008;2.6749;412.887257363268;2.69;333.6667;984.0
15;15;room.;915;224;967;235;229.5;0.0;1;[];[];0.0;0.0;0;;;406.62571825650815;;;
16;16;They;976;220;1024;239;229.5;0.0;1;[np.float64(3511.0), np.float64(3524.0), np.float64(3528.0)];[np.float64(0.0), np.float64(1.502785422585248), np.float64(0.0)];733.0;384.0;3;2.6224;2.5933;400.84838976178855;2.61;244.3333;384.0
17;17;are;1032;224;1061;235;229.5;0.0;1;[np.float64(3527.0)];[np.float64(1.2792665481567838)];167.0;167.0;1;2.5876;2.553;405.7492559608873;2.57;167.0;333.0
18;18;facing;1069;220;1126;239;229.5;0.0;1;[np.float64(3512.0)];[np.float64(0.0)];267.0;267.0;1;2.6161;2.5929;405.9290210856095;2.6;267.0;267.0
19;19;each;1134;220;1179;235;227.5;2.0;1;[np.float64(3513.0), np.float64(3525.0)];[np.float64(0.0), np.float64(0.0)];383.0;183.0;2;2.6227;2.5859;424.9107450310101;2.6;191.5;183.0
20;20;other;1187;220;1237;235;227.5;0.0;1;[np.float64(3514.0), np.float64(3526.0), np.float64(3529.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.46763924189980344)];634.0;200.0;3;2.5969;2.5622;443.8857671993087;2.58;211.3333;3200.0
21;21;and;1244;220;1277;235;227.5;0.0;1;[];[];0.0;0.0;0;;;470.1427347413304;;;
