text;attention
The;4.2529803e-12
image;3.667942e-12
appears;4.3313244e-12
to;3.7172925e-12
be;3.4642764e-12
centered;3.6167488e-12
around;3.4992803e-12
a;3.2722314e-12
meal;4.9385144e-12
at;3.2644577e-12
a;3.193383e-12
restaurant,;5.66894e-12
featuring;3.690475e-12
what;3.6048753e-12
looks;3.4310681e-12
like;3.1559325e-12
a;3.1550233e-12
sandwich;4.75604e-12
possibly;3.874614e-12
with;3.2774781e-12
pulled;3.7626677e-12
pork,;4.226553e-12
served;3.478817e-12
with;3.2068358e-12
French;3.3186305e-12
fries;4.2817937e-12
and;3.155836e-12
a;3.2191905e-12
side;3.3686608e-12
of;3.1572269e-12
coleslaw,;4.927732e-12
accompanied;3.6055148e-12
by;3.072482e-12
a;3.1188255e-12
small;3.2093813e-12
bowl;3.5253133e-12
of;3.1365793e-12
sauce.;1.0
On;3.3312123e-12
the;3.1297129e-12
other;3.1598474e-12
plate,;3.8973833e-12
there;3.215619e-12
seems;3.3071302e-12
to;3.052144e-12
be;3.0568631e-12
a;3.0022929e-12
rice;3.511757e-12
dish;3.5004686e-12
with;3.3945377e-12
vegetables;3.813176e-12
and;3.209969e-12
grilled;3.505821e-12
chicken;3.467013e-12
breast,;3.333329e-12
served;3.0864554e-12
with;3.1364954e-12
slices;3.3056797e-12
of;3.1764832e-12
toasted;3.2367867e-12
bread.;3.4458439e-12
The;3.3099318e-12
drinks;3.990477e-12
visible;3.1886178e-12
are;3.1838466e-12
likely;3.3931785e-12
soft;3.2115307e-12
drinks.;3.638024e-12
The;3.2758908e-12
theme;4.178412e-12
suggests;3.3605237e-12
a;3.2919817e-12
casual;3.9092284e-12
dining;3.7032946e-12
experience,;3.2991413e-12
possibly;3.661979e-12
at;3.0398915e-12
an;3.057499e-12
American-style;3.6312854e-12
restaurant;3.312439e-12
or;3.0840664e-12
diner,;3.3338375e-12
with;3.0784537e-12
a;3.0104816e-12
focus;3.2201488e-12
on;3.1391827e-12
hearty,;3.5588429e-12
comfort;3.20439e-12
food;3.1893232e-12
dishes.;3.1343246e-12
