;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;In;273;220;289;235;227.5;;1;[];[];0.0;0.0;0;;;956.3771109917677;;;
1;1;this;297;220;330;235;227.5;0.0;1;[];[];0.0;0.0;0;;;917.8998074469977;;;
2;2;scene,;338;224;400;238;231.0;3.5;1;[np.float64(1670.0)];[np.float64(22.145295858383122)];167.0;167.0;1;2.3985;2.5899;851.6166009578789;2.49;167.0;167.0
3;3;there;409;220;457;235;227.5;3.5;1;[];[];0.0;0.0;0;;;800.3054879142093;;;
4;4;is;466;220;479;235;227.5;0.0;1;[np.float64(1654.0), np.float64(1671.0)];[np.float64(26.333170702132552), np.float64(30.32945442199707)];417.0;217.0;2;2.436;2.5862;780.2345043235817;2.51;208.5;217.0
5;5;a;488;224;498;235;229.5;2.0;1;[];[];0.0;0.0;0;;;762.9860759331561;;;
6;6;person;506;224;570;239;231.5;2.0;1;[np.float64(1672.0)];[np.float64(24.545667839050225)];250.0;250.0;1;2.4308;2.5747;696.6049666361047;2.5;250.0;250.0
7;7;reclining;579;220;658;239;229.5;2.0;1;[np.float64(1655.0), np.float64(1673.0)];[np.float64(19.628080725669804), np.float64(23.205309629440308)];300.0;200.0;2;2.4379;2.5628;619.7277713221733;2.5;150.0;200.0
8;8;on;666;224;688;235;229.5;0.0;1;[];[];0.0;0.0;0;;;596.3861629648875;;;
9;9;a;696;224;706;235;229.5;0.0;1;[];[];0.0;0.0;0;;;581.3478131892363;;;
10;10;couch;715;220;771;235;227.5;2.0;1;[np.float64(1656.0), np.float64(1657.0)];[np.float64(15.251642482734994), np.float64(23.356077296393266)];383.0;150.0;2;2.3823;2.5349;528.5860926541834;2.46;191.5;383.0
11;11;in;780;220;794;235;227.5;0.0;1;[];[];0.0;0.0;0;;;510.59309719753026;;;
12;12;what;802;220;848;235;227.5;0.0;1;[np.float64(1658.0)];[np.float64(18.7906787872314)];166.0;166.0;1;2.4062;2.5551;470.06785092956943;2.48;166.0;166.0
13;13;appears;856;224;932;239;231.5;4.0;1;[np.float64(1659.0)];[np.float64(14.461666193875345)];183.0;183.0;1;2.4454;2.5947;410.0768972209648;2.52;183.0;183.0
14;14;to;940;220;957;235;227.5;4.0;1;[];[];0.0;0.0;0;;;398.13537575551277;;;
15;15;be;966;220;988;235;227.5;0.0;1;[];[];0.0;0.0;0;;;380.90707192360065;;;
16;16;a;989;216;998;243;229.5;2.0;1;[];[];0.0;0.0;0;;;368.8597487762494;;;
17;17;living;1014;220;1062;239;229.5;0.0;1;[np.float64(1660.0), np.float64(1674.0)];[np.float64(7.803865909576359), np.float64(64.30484695395188)];350.0;200.0;2;2.4476;2.5834;343.87354729521326;2.52;175.0;200.0
18;18;room;1070;224;1117;235;229.5;0.0;1;[np.float64(1661.0)];[np.float64(0.0)];200.0;200.0;1;2.4446;2.5988;331.48017516820795;2.52;200.0;200.0
19;19;with;1125;220;1162;235;227.5;2.0;1;[np.float64(1675.0)];[np.float64(60.91740550994871)];250.0;250.0;1;2.4547;2.5627;324.69396027545736;2.51;250.0;250.0
20;20;the;1170;220;1200;235;227.5;0.0;1;[];[];0.0;0.0;0;;;323.5713276863098;;;
21;21;lights;1208;220;1257;239;229.5;2.0;1;[np.float64(1662.0), np.float64(1676.0)];[np.float64(0.0), np.float64(46.71422576904297)];200.0;117.0;2;2.4371;2.5784;320.13700869248004;2.51;100.0;117.0
22;22;dimmed.;261;302;341;317;309.5;80.0;2;[];[];0.0;0.0;0;;;881.7152956858653;;;
23;23;They;350;302;397;321;311.5;2.0;2;[np.float64(1663.0), np.float64(1669.0)];[np.float64(0.3985031934884091), np.float64(0.0)];284.0;217.0;2;2.3896;2.603;826.8420993215508;2.5;142.0;217.0
24;24;seem;405;306;456;317;311.5;0.0;2;[np.float64(1665.0)];[np.float64(2.50020170211792)];100.0;100.0;1;2.3394;2.531;771.7591142566189;2.44;100.0;100.0
25;25;relaxed,;465;302;539;320;311.0;0.5;2;[np.float64(1664.0)];[np.float64(2.794568148526423)];184.0;184.0;1;2.4302;2.5691;692.3774291840243;2.5;184.0;284.0
26;26;possibly;549;302;626;321;311.5;0.5;2;[];[];0.0;0.0;0;;;611.0510183176857;;;
27;27;watching;633;302;718;321;311.5;0.0;2;[np.float64(1666.0)];[np.float64(0.0)];216.0;216.0;1;2.3648;2.4806;527.5031385882733;2.42;216.0;216.0
28;28;TV;726;302;754;317;309.5;2.0;2;[];[];0.0;0.0;0;;;497.55580680946844;;;
29;29;or;761;306;780;317;311.5;2.0;2;[];[];0.0;0.0;0;;;474.9936545563793;;;
30;30;looking;787;302;854;321;311.5;0.0;2;[np.float64(1667.0)];[np.float64(0.0)];183.0;183.0;1;2.3549;2.4954;410.669929452848;2.43;183.0;183.0
31;31;at;862;302;879;317;309.5;2.0;2;[];[];0.0;0.0;0;;;392.99173878138555;;;
32;32;a;887;306;897;317;311.5;2.0;2;[];[];0.0;0.0;0;;;378.95557955299006;;;
33;33;mobile;906;302;967;317;309.5;2.0;2;[];[];0.0;0.0;0;;;328.0709340314624;;;
34;34;device.;975;302;1042;317;309.5;0.0;2;[np.float64(1668.0)];[np.float64(0.0)];67.0;67.0;1;2.3981;2.5298;282.7701774809953;2.46;67.0;1334.0
35;35;The;1050;302;1087;317;309.5;0.0;2;[];[];0.0;0.0;0;;;262.213719287241;;;
36;36;individual;1095;302;1183;317;309.5;0.0;2;[];[];0.0;0.0;0;;;241.64526075093124;;;
37;37;has;1192;302;1225;317;309.5;0.0;2;[];[];0.0;0.0;0;;;241.59024050103605;;;
38;38;one;1233;306;1268;317;311.5;2.0;2;[];[];0.0;0.0;0;;;245.54983687150727;;;
39;39;leg;290;383;317;402;392.5;81.0;3;[np.float64(1678.0)];[np.float64(0.0)];216.0;216.0;1;2.3811;2.5901;885.9224783097593;2.49;216.0;216.0
40;40;crossed;325;383;400;398;390.5;2.0;3;[np.float64(1677.0)];[np.float64(0.0)];150.0;150.0;1;2.4099;2.6504;805.1509238443634;2.53;150.0;366.0
41;41;over;408;387;450;398;392.5;2.0;3;[];[];0.0;0.0;0;;;756.2210659004879;;;
42;42;the;457;383;486;398;390.5;2.0;3;[np.float64(1680.0)];[np.float64(0.0)];117.0;117.0;1;2.401;2.534;721.0824845740755;2.47;117.0;117.0
43;43;other;494;383;543;398;390.5;0.0;3;[np.float64(1679.0)];[np.float64(0.0)];217.0;217.0;1;2.415;2.5265;665.6347050386971;2.47;217.0;334.0
44;44;and;550;383;584;398;390.5;0.0;3;[];[];0.0;0.0;0;;;625.9236683767668;;;
45;45;is;593;383;606;398;390.5;0.0;3;[];[];0.0;0.0;0;;;604.6862379661816;;;
46;46;holding;615;383;682;402;392.5;2.0;3;[np.float64(1681.0)];[np.float64(0.6119048254830659)];234.0;234.0;1;2.3966;2.54;530.6037665597987;2.47;234.0;234.0
47;47;a;691;387;701;398;392.5;0.0;3;[];[];0.0;0.0;0;;;513.7166515110702;;;
48;48;small;709;383;757;398;390.5;2.0;3;[];[];0.0;0.0;0;;;460.8550349353831;;;
49;49;dog;766;383;800;402;392.5;2.0;3;[];[];0.0;0.0;0;;;419.3062869786806;;;
50;50;in;809;383;823;398;390.5;2.0;3;[];[];0.0;0.0;0;;;399.6528324429689;;;
51;51;their;831;383;873;398;390.5;0.0;3;[];[];0.0;0.0;0;;;354.43571606699857;;;
52;52;lap,;881;383;913;402;392.5;2.0;3;[];[];0.0;0.0;0;;;317.2978702699187;;;
53;53;suggesting;922;383;1026;402;392.5;0.0;3;[np.float64(1682.0)];[np.float64(9.024538448878673)];350.0;350.0;1;2.4194;2.6043;226.00025366314233;2.51;350.0;350.0
54;54;a;1039;387;1044;398;392.5;0.0;3;[];[];0.0;0.0;0;;;216.33656602900246;;;
55;55;moment;1053;384;1129;398;391.0;1.5;3;[np.float64(1683.0)];[np.float64(15.821515560150146)];150.0;150.0;1;2.4261;2.5295;171.40712758349935;2.48;150.0;150.0
56;56;of;1136;383;1154;398;390.5;0.5;3;[];[];0.0;0.0;0;;;164.33669267252873;;;
57;57;rest;1162;384;1197;398;391.0;0.5;3;[];[];0.0;0.0;0;;;160.57132768630981;;;
58;58;and;1204;383;1238;398;390.5;0.5;3;[np.float64(1684.0)];[np.float64(28.554466485977173)];66.0;66.0;1;2.3976;2.5135;161.27256091097283;2.46;66.0;66.0
59;59;companionship.;264;466;413;485;475.5;85.0;4;[np.float64(1685.0)];[np.float64(4.1969306468963055)];200.0;200.0;1;2.397;2.6071;779.4569870361776;2.5;200.0;200.0
60;60;The;422;465;458;481;473.0;2.5;4;[];[];0.0;0.0;0;;;735.0815101543643;;;
61;61;room;466;470;513;481;475.5;2.5;4;[np.float64(1686.0)];[np.float64(17.83171393654561)];184.0;184.0;1;2.3909;2.5443;680.4133640291635;2.47;184.0;184.0
62;62;is;522;466;535;481;473.5;2.0;4;[];[];0.0;0.0;0;;;658.5615792778591;;;
63;63;cluttered,;544;466;631;483;474.5;1.0;4;[np.float64(1687.0)];[np.float64(8.712759166955948)];267.0;267.0;1;2.4186;2.5076;563.071457144775;2.46;267.0;267.0
64;64;with;640;466;678;481;473.5;1.0;4;[];[];0.0;0.0;0;;;516.831601283696;;;
65;65;various;686;466;754;481;473.5;0.0;4;[np.float64(1688.0)];[np.float64(19.312415695190452)];250.0;250.0;1;2.3296;2.4699;441.8397734572019;2.4;250.0;250.0
66;66;items;763;466;813;481;473.5;0.0;4;[];[];0.0;0.0;0;;;383.8959338348254;;;
67;67;strewn;821;466;884;481;473.5;0.0;4;[];[];0.0;0.0;0;;;314.68768692742174;;;
68;68;about,;892;466;950;483;474.5;1.0;4;[];[];0.0;0.0;0;;;250.64133387647837;;;
69;69;including;960;466;1043;485;475.5;1.0;4;[np.float64(1689.0)];[np.float64(41.28996944427496)];200.0;200.0;1;2.3051;2.4458;163.46881346886406;2.38;200.0;200.0
70;70;on;1051;470;1074;481;475.5;0.0;4;[];[];0.0;0.0;0;;;138.69766981401122;;;
71;71;the;1082;466;1111;481;473.5;2.0;4;[];[];0.0;0.0;0;;;109.9897198222307;;;
72;72;kitchen;1119;466;1186;481;473.5;0.0;4;[];[];0.0;0.0;0;;;77.62843540179225;;;
73;73;counter;1195;466;1267;481;473.5;0.0;4;[np.float64(1690.0)];[np.float64(42.550957441329956)];167.0;167.0;1;2.3052;2.4105;77.8047957705251;2.36;167.0;167.0
74;74;and;282;547;316;562;554.5;81.0;5;[];[];0.0;0.0;0;;;872.9770965576172;;;
75;75;the;324;547;353;562;554.5;0.0;5;[np.float64(1691.0)];[np.float64(4.040251016616821)];133.0;133.0;1;2.2905;2.4742;835.9770965576172;2.38;133.0;133.0
76;76;coffee;361;547;420;562;554.5;0.0;5;[];[];0.0;0.0;0;;;768.9770965576172;;;
77;77;table.;427;547;478;562;554.5;0.0;5;[];[];0.0;0.0;0;;;710.9770965576172;;;
78;78;This;487;547;527;562;554.5;0.0;5;[np.float64(1692.0)];[np.float64(27.60067844390869)];100.0;100.0;1;2.2971;2.4004;661.9770965576172;2.35;100.0;100.0
79;79;setting;536;547;598;566;556.5;2.0;5;[np.float64(1693.0)];[np.float64(26.454529762268066)];184.0;184.0;1;2.3008;2.3632;590.9770965576172;2.33;184.0;184.0
80;80;gives;607;547;656;566;556.5;0.0;5;[np.float64(1694.0), np.float64(1696.0)];[np.float64(25.44449911117556), np.float64(16.557508083421997)];334.0;167.0;2;2.2498;2.3116;532.9770965576172;2.28;167.0;167.0
81;81;the;664;547;693;562;554.5;2.0;5;[];[];0.0;0.0;0;;;495.9770965576172;;;
82;82;impression;702;547;804;566;556.5;2.0;5;[np.float64(1695.0)];[np.float64(42.27639657800847)];184.0;184.0;1;2.2125;2.3072;384.9770965576172;2.26;184.0;351.0
