;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;82;306.5366;833.9756;2.9268;2.2714;0.5892;989.3289;68386.0;4.1;0.5122;0.4756;0.4878;0.5;0.439;0.5488;antonella;1
1;101;180.1485;365.505;1.505;2.235;0.549;580.0625;36916.0;4.2;0.505;0.4851;0.495;0.495;0.4158;0.5743;antonella;1
2;72;210.5556;357.8889;1.3472;2.2129;0.5816;524.8571;25768.0;10.2;0.4444;0.5417;0.4722;0.5139;0.3333;0.6528;antonella;1
3;93;229.0108;380.6989;1.4516;2.2391;0.6029;507.95;35405.0;10.1;0.5161;0.4731;0.4839;0.5054;0.3548;0.6344;antonella;1
4;46;193.4348;316.1087;1.2609;2.1928;0.6271;582.6111;14541.0;1.2;0.3913;0.587;0.413;0.5652;0.3478;0.6304;antonella;1
5;12;99.25;99.25;0.5;2.325;0.7143;198.5;1191.0;1.1;0.4167;0.5;0.4167;0.5;0.3333;0.5833;antonella;1
6;35;178.0286;275.1714;1.2571;2.1854;0.6444;374.8929;9631.0;17.2;0.4571;0.5143;0.4571;0.5143;0.2857;0.6857;antonella;1
7;2;499.5;499.5;1.0;2.29;0.3333;499.5;999.0;17.1;0.0;0.5;0.0;0.5;0.0;0.5;antonella;1
8;7;204.5714;249.7143;1.0;2.28;0.25;461.0;1748.0;13.1;0.4286;0.4286;0.2857;0.5714;0.2857;0.5714;antonella;1
9;98;150.1939;217.8878;0.949;2.1065;0.617;390.9206;21353.0;13.2;0.4694;0.5204;0.4592;0.5306;0.3571;0.6327;antonella;1
10;28;152.1071;232.7857;1.1429;2.1595;0.6667;440.5909;6518.0;28.2;0.4286;0.5357;0.5;0.4643;0.3929;0.5714;antonella;1
11;73;98.8082;135.2329;0.6986;2.1403;0.6731;419.8649;9872.0;28.1;0.411;0.5753;0.4384;0.5479;0.3562;0.6301;antonella;1
