;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;7;129.5714;280.7143;1.2857;3.808;0.4;576.2;1965.0;18.2;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;alessio;1
1;8;106.25;279.125;1.0;3.5667;0.3333;744.3333;2233.0;18.1;0.25;0.625;0.25;0.625;0.25;0.625;alessio;1
2;16;123.9375;156.1875;0.6875;3.6412;0.5833;354.0;2499.0;8.2;0.375;0.5625;0.3125;0.625;0.375;0.5625;alessio;1
3;30;112.0333;167.0333;0.7667;3.6428;0.6667;369.6667;5011.0;8.1;0.4667;0.5;0.4333;0.5333;0.3;0.6667;alessio;1
4;101;80.4059;109.3762;0.604;3.6162;0.7742;275.1111;11047.0;14.2;0.3663;0.6238;0.3663;0.6238;0.2871;0.703;alessio;1
5;74;115.6622;141.6892;0.6486;3.5538;0.8163;261.5714;10485.0;9.1;0.4324;0.5541;0.4189;0.5676;0.3378;0.6486;alessio;1
6;59;135.2881;149.4237;0.6271;3.5027;0.8158;274.2121;8816.0;9.2;0.4915;0.4915;0.4746;0.5085;0.339;0.6441;alessio;1
7;90;128.6556;169.1111;0.7778;3.5402;0.7746;284.1636;15220.0;27.2;0.4444;0.5444;0.4222;0.5667;0.3444;0.6444;alessio;1
8;73;143.3562;220.8767;0.9589;3.8089;0.662;712.8913;16124.0;27.1;0.411;0.5753;0.4521;0.5342;0.3288;0.6575;alessio;1
9;2;75.0;426.0;2.5;;0.0;852.0;852.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;alessio;1
10;35;82.8286;115.8857;0.6;3.6082;0.6818;314.5294;4056.0;17.2;0.4;0.5714;0.3714;0.6;0.3714;0.6;alessio;1
11;8;124.125;285.625;1.125;3.708;0.4;582.2;2285.0;22.2;0.625;0.25;0.625;0.25;0.5;0.375;alessio;1
12;48;69.4583;75.0208;0.4167;3.605;0.7619;233.3889;3601.0;22.1;0.3333;0.6458;0.3125;0.6667;0.3125;0.6667;alessio;1
13;82;102.4268;117.061;0.6341;3.5332;0.7925;228.0;9599.0;4.1;0.4024;0.5854;0.4146;0.5732;0.3415;0.6463;alessio;1
14;101;86.8416;100.3564;0.5743;3.3394;0.7797;215.04;10136.0;4.2;0.396;0.5941;0.3762;0.6139;0.3663;0.6238;alessio;1
15;106;102.2264;171.1509;0.8962;3.6206;0.7292;367.6897;18142.0;24.1;0.434;0.5566;0.3962;0.5943;0.3585;0.6321;alessio;1
16;110;92.4273;106.8364;0.5909;3.5207;0.8182;251.6909;11752.0;24.2;0.3909;0.6;0.3909;0.6;0.3455;0.6455;alessio;1
17;34;97.9118;155.5;0.7059;3.7181;0.6;378.9375;5287.0;20.2;0.4118;0.5588;0.4118;0.5588;0.3529;0.6176;alessio;1
18;89;101.2809;105.764;0.5955;3.5636;0.8148;232.58;9413.0;20.1;0.3708;0.618;0.3708;0.618;0.2921;0.6966;alessio;1
19;89;101.3483;131.7865;0.7191;3.54;0.7538;276.6809;11729.0;5.1;0.4045;0.5843;0.4382;0.5506;0.3708;0.618;alessio;1
20;55;79.4364;93.0727;0.5818;3.8211;0.7879;189.5926;5119.0;5.2;0.4;0.5818;0.4;0.5818;0.3818;0.6;alessio;1
21;72;114.0833;154.6806;0.8194;3.4707;0.7167;291.5714;11137.0;10.2;0.3889;0.5972;0.4306;0.5556;0.3472;0.6389;alessio;1
22;93;121.2043;142.172;0.7097;3.5893;0.7761;273.4483;13222.0;10.1;0.4194;0.5699;0.3978;0.5914;0.3011;0.6882;alessio;1
23;98;97.7449;135.2551;0.7245;3.4335;0.7222;383.5769;13255.0;13.2;0.3878;0.602;0.3776;0.6122;0.3265;0.6633;alessio;1
24;7;62.0;97.7143;0.5714;3.73;0.2;292.0;684.0;13.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;alessio;1
25;136;98.8676;110.5809;0.5882;3.5952;0.8272;224.5915;15039.0;21.2;0.4118;0.5809;0.4265;0.5662;0.3603;0.6324;alessio;1
26;55;87.3091;109.4545;0.6;3.4841;0.7353;238.4074;6020.0;21.1;0.3636;0.6182;0.3818;0.6;0.3455;0.6364;alessio;1
27;16;183.375;260.5;0.8125;3.5967;0.5714;879.8889;4168.0;12.1;0.3125;0.625;0.375;0.5625;0.3125;0.625;alessio;1
28;76;84.5658;107.5658;0.5789;3.5243;0.7556;242.4;8175.0;12.2;0.3684;0.6184;0.3947;0.5921;0.3289;0.6579;alessio;1
29;14;105.7857;121.2857;0.6429;3.7775;0.6;251.75;1698.0;29.2;0.5;0.4286;0.5;0.4286;0.2857;0.6429;alessio;1
30;3;444.6667;444.6667;1.0;3.8967;0.25;475.3333;1334.0;29.1;0.6667;0.0;0.6667;0.0;0.0;0.6667;alessio;1
31;108;63.3241;72.7407;0.4074;3.5818;0.7778;212.5385;7856.0;3.1;0.2963;0.6944;0.287;0.7037;0.287;0.7037;alessio;1
32;39;109.8974;160.7436;0.7692;3.6362;0.6452;490.619;6269.0;3.2;0.4103;0.5641;0.359;0.6154;0.3077;0.6667;alessio;1
33;41;86.9756;103.8293;0.6341;3.5291;0.8519;198.0455;4257.0;2.1;0.439;0.5366;0.4146;0.561;0.3659;0.6098;alessio;1
34;30;69.7667;69.7667;0.4667;3.5864;0.8;160.2143;2093.0;2.2;0.3667;0.6;0.3667;0.6;0.3;0.6667;alessio;1
35;12;69.4167;104.1667;0.5833;3.676;0.375;439.6;1250.0;1.1;0.25;0.6667;0.25;0.6667;0.25;0.6667;alessio;1
36;46;87.6522;93.8261;0.5435;3.4465;0.6923;239.0435;4316.0;1.2;0.3478;0.6304;0.3696;0.6087;0.2609;0.7174;alessio;1
37;85;92.6235;112.8118;0.6235;3.3536;0.7963;221.7273;9589.0;26.2;0.4;0.5882;0.4118;0.5765;0.3412;0.6471;alessio;1
38;21;71.4762;92.9048;0.5238;3.4233;0.6667;216.7778;1951.0;26.1;0.4286;0.5238;0.381;0.5714;0.381;0.5714;alessio;1
39;115;84.5478;113.7304;0.6522;3.3069;0.7237;257.1818;13079.0;19.1;0.4;0.5913;0.3913;0.6;0.3739;0.6174;alessio;1
40;19;162.2632;172.7895;0.6842;3.3408;0.7857;273.5833;3283.0;19.2;0.4211;0.5263;0.4211;0.5263;0.3158;0.6316;alessio;1
41;38;91.0263;100.2368;0.6053;3.4509;0.7917;190.9545;3809.0;16.2;0.4211;0.5526;0.4211;0.5526;0.3421;0.6316;alessio;1
42;21;74.0952;82.8095;0.4762;3.4944;0.7273;224.7778;1739.0;16.1;0.381;0.5714;0.381;0.5714;0.3333;0.619;alessio;1
43;66;104.0606;159.2273;0.8182;3.5378;0.6727;383.8056;10509.0;15.2;0.3939;0.5909;0.4091;0.5758;0.3485;0.6364;alessio;1
44;15;94.5333;94.5333;0.4667;3.5929;0.625;247.8571;1418.0;15.1;0.2667;0.6667;0.2667;0.6667;0.2667;0.6667;alessio;1
45;7;121.1429;121.1429;0.7143;3.696;0.6667;169.6;848.0;11.1;0.5714;0.2857;0.5714;0.2857;0.2857;0.5714;alessio;1
46;15;65.6667;65.6667;0.4667;3.49;0.75;140.7143;985.0;11.2;0.4;0.5333;0.4;0.5333;0.3333;0.6;alessio;1
47;2;258.5;258.5;0.5;3.36;0.0;517.0;517.0;7.1;0.5;0.0;0.5;0.0;0.5;0.0;alessio;1
48;47;48.8085;53.4043;0.383;3.4206;0.6842;172.5;2510.0;7.2;0.2979;0.6809;0.2979;0.6809;0.2766;0.7021;alessio;1
49;28;82.0714;93.3929;0.5;3.5942;0.6667;230.4167;2615.0;28.2;0.3214;0.6429;0.3214;0.6429;0.2857;0.6786;alessio;1
50;73;80.9041;89.3425;0.5068;3.5506;0.8421;248.8788;6522.0;28.1;0.3699;0.6164;0.3699;0.6164;0.3014;0.6849;alessio;1
51;58;78.1897;87.1207;0.5;3.3748;0.7333;220.12;5053.0;6.1;0.3621;0.6207;0.3621;0.6207;0.3276;0.6552;alessio;1
52;57;96.8947;104.3509;0.5263;3.6511;0.7742;282.8929;5948.0;6.2;0.386;0.5965;0.4035;0.5789;0.3509;0.6316;alessio;1
53;41;72.3415;110.9268;0.6098;3.56;0.7692;342.3333;4548.0;30.2;0.3415;0.6341;0.3659;0.6098;0.2683;0.7073;alessio;1
54;53;65.9057;65.9057;0.4151;3.3491;0.8696;164.8636;3493.0;30.1;0.3585;0.6226;0.3585;0.6226;0.3208;0.6604;alessio;1
55;41;100.3659;158.2683;0.8049;3.7175;0.6471;400.7;6489.0;23.1;0.3659;0.6098;0.3659;0.6098;0.3171;0.6585;alessio;1
56;12;135.5833;205.9167;1.0;3.7329;0.3846;436.4286;2471.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;alessio;1
57;120;125.0;144.0333;0.6917;3.4457;0.7857;265.6912;17284.0;25.1;0.4083;0.5833;0.4167;0.575;0.3417;0.65;alessio;1
58;116;109.819;151.1983;0.8103;3.5988;0.7053;314.5294;17539.0;25.2;0.4397;0.5517;0.4052;0.5862;0.3448;0.6466;alessio;1
59;9;148.1111;266.6667;1.4444;3.79;0.4286;478.5714;2400.0;18.0;0.4444;0.4444;0.4444;0.4444;0.4444;0.4444;alessio;1
60;8;76.875;136.375;0.875;3.416;0.5;253.2;1091.0;8.0;0.375;0.5;0.375;0.5;0.25;0.625;alessio;1
61;10;167.4;177.4;0.9;3.7038;0.6;290.5;1774.0;14.0;0.5;0.4;0.5;0.4;0.3;0.6;alessio;1
62;12;136.9167;231.4167;1.1667;4.0229;0.6;422.8571;2777.0;9.0;0.4167;0.5;0.4167;0.5;0.5;0.4167;alessio;1
63;8;99.75;208.0;1.125;3.988;0.6;379.4;1664.0;27.0;0.375;0.5;0.5;0.375;0.375;0.5;alessio;1
64;12;118.0833;203.5;1.25;3.6156;0.6875;387.8889;2442.0;17.0;0.5;0.4167;0.5;0.4167;0.4167;0.5;alessio;1
65;8;116.875;187.625;1.125;3.634;0.6;382.0;1501.0;22.0;0.375;0.5;0.5;0.375;0.375;0.5;alessio;1
66;8;89.75;171.125;1.0;3.3675;0.4444;342.25;1369.0;4.0;0.5;0.375;0.375;0.5;0.375;0.5;alessio;1
67;5;71.8;256.8;1.8;3.65;0.3;483.6667;1284.0;24.0;0.4;0.4;0.2;0.6;0.4;0.4;alessio;1
68;10;58.3;97.5;0.6;3.8625;0.5714;243.75;975.0;20.0;0.4;0.5;0.4;0.5;0.4;0.5;alessio;1
69;8;156.375;196.0;1.125;3.6483;0.5;389.3333;1568.0;5.0;0.625;0.25;0.625;0.25;0.5;0.375;alessio;1
70;15;148.2667;238.2667;1.2;3.7345;0.6316;411.1818;3574.0;10.0;0.4667;0.4667;0.4;0.5333;0.4667;0.4667;alessio;1
71;10;103.4;125.1;0.7;3.0633;0.375;392.0;1251.0;13.0;0.4;0.5;0.4;0.5;0.4;0.5;alessio;1
72;12;153.3333;351.1667;1.8333;3.4491;0.5652;537.5455;4214.0;21.0;0.5833;0.3333;0.5;0.4167;0.3333;0.5833;alessio;1
73;8;123.125;143.875;0.875;3.478;0.5;357.0;1151.0;12.0;0.625;0.25;0.5;0.375;0.375;0.5;alessio;1
74;13;125.1538;233.5385;1.0769;3.6143;0.6667;524.4286;3036.0;29.0;0.3846;0.5385;0.3077;0.6154;0.4615;0.4615;alessio;1
75;8;65.625;132.25;0.75;3.9333;0.2857;464.0;1058.0;3.0;0.125;0.75;0.125;0.75;0.125;0.75;alessio;1
76;18;147.1111;192.4444;0.8333;3.6775;0.6875;326.1667;3464.0;2.0;0.5;0.4444;0.5556;0.3889;0.3333;0.6111;alessio;1
77;11;78.7273;116.6364;0.8182;4.054;0.4;263.8333;1283.0;1.0;0.4545;0.4545;0.3636;0.5455;0.2727;0.6364;alessio;1
78;12;96.4167;138.0;0.75;3.594;0.5;387.8;1656.0;26.0;0.3333;0.5833;0.3333;0.5833;0.4167;0.5;alessio;1
79;8;37.625;59.5;0.375;3.215;0.25;238.0;476.0;19.0;0.25;0.625;0.25;0.625;0.25;0.625;alessio;1
80;8;119.875;363.5;2.0;3.605;0.4118;895.3333;2908.0;16.0;0.625;0.25;0.5;0.375;0.625;0.25;alessio;1
