text;attention
In;6.2806413e-07
this;8.0826965e-07
scene,;2.273857e-06
there;5.3753206e-07
is;6.242049e-07
a;7.078438e-07
person;6.850759e-07
reclining;8.108515e-07
on;6.031543e-07
a;5.8386286e-07
couch;5.1190506e-07
in;5.263661e-07
what;4.808165e-07
appears;5.0244836e-07
to;4.3599303e-07
be;4.7227493e-07
a;5.2972604e-07
living;6.018305e-07
room;4.5682918e-07
with;7.4684533e-07
the;4.5117724e-07
lights;4.6608955e-07
dimmed.;0.16565645
They;9.4149715e-07
seem;6.339543e-07
relaxed,;1.4062476e-06
possibly;6.3543115e-07
watching;5.580394e-07
TV;4.6955884e-07
or;5.671046e-07
looking;5.252268e-07
at;5.253025e-07
a;4.648258e-07
mobile;5.5591204e-07
device.;0.0014115355
The;7.133527e-07
individual;8.7390964e-07
has;7.107925e-07
one;5.3635733e-07
leg;5.692238e-07
crossed;5.873231e-07
over;4.870338e-07
the;4.6114295e-07
other;4.6685736e-07
and;6.136431e-07
is;6.684598e-07
holding;6.993503e-07
a;5.9808e-07
small;4.7725405e-07
dog;8.6264e-07
in;5.1029315e-07
their;9.663192e-07
lap,;8.592277e-07
suggesting;8.6868636e-07
a;6.0418023e-07
moment;6.068452e-07
of;4.666001e-07
rest;6.4700373e-07
and;5.371584e-07
companionship.;0.5217821
The;5.960086e-07
room;5.907863e-07
is;7.729086e-07
cluttered,;0.039465833
with;6.4068496e-07
various;5.826597e-07
items;5.7236747e-07
strewn;6.0272714e-07
about,;7.4517834e-07
including;7.049201e-07
on;6.720381e-07
the;5.267397e-07
kitchen;6.655382e-07
counter;5.773607e-07
and;5.5196534e-07
the;5.0254425e-07
coffee;5.510354e-07
table.;0.2715803
This;6.067909e-07
setting;5.7247934e-07
gives;5.841402e-07
the;4.409381e-07
impression;6.994825e-07
of;5.5239815e-07
a;5.503249e-07
casual,;1.1204455e-06
lived-in;1.8633655e-05
space;5.483179e-07
where;8.076909e-07
someone;8.137107e-07
is;6.733359e-07
unwinding;1.1406129e-06
after;7.0988267e-07
a;5.3461844e-07
day's;1.8014221e-05
activities.;1.4797723e-06
The;5.7597975e-07
overall;6.388082e-07
atmosphere;7.0780595e-07
is;5.763446e-07
one;5.0805266e-07
of;6.9465625e-07
domestic;7.0058866e-07
life;6.053805e-07
and;8.0129166e-07
informality.;2.5572126e-06
