;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;93.0;125.3011;172.2581;0.8387;2.6882;0.6456;321.2727;16020.0;10.1;0.3548;0.6344;0.3333;0.6559;0.2581;0.7312;mireia;1;
1;72.0;127.5694;180.8056;0.7778;2.7051;0.6667;348.8293;13018.0;10.2;0.3611;0.625;0.3056;0.6806;0.2917;0.6944;mireia;1;
2;15.0;140.0667;255.6;1.0667;2.731;0.5294;383.4;3834.0;11.2;0.4667;0.4667;0.4;0.5333;0.3333;0.6;mireia;1;
3;7.0;81.0;307.4286;1.4286;2.91;0.1818;717.3333;2152.0;11.1;0.2857;0.5714;0.4286;0.4286;0.2857;0.5714;mireia;1;
4;58.0;110.6897;146.7759;0.7414;2.6831;0.6818;291.0312;8513.0;6.1;0.4138;0.569;0.431;0.5517;0.2759;0.7069;mireia;1;
5;57.0;115.7895;161.6842;0.7193;2.7252;0.6429;361.7407;9216.0;6.2;0.3333;0.6491;0.3333;0.6491;0.2982;0.6842;mireia;1;
6;21.0;149.1905;202.381;1.0;2.7007;0.6818;361.0667;4250.0;16.1;0.381;0.5714;0.3333;0.619;0.2857;0.6667;mireia;1;
7;38.0;118.7368;147.2105;0.7105;2.67;0.6786;303.85;5594.0;16.2;0.3158;0.6579;0.2632;0.7105;0.2895;0.6842;mireia;1;
8;66.0;124.6515;205.0758;1.0303;2.6733;0.5652;412.575;13535.0;15.2;0.4242;0.5606;0.4091;0.5758;0.3182;0.6667;mireia;1;
9;15.0;108.8;357.7333;1.4667;2.77;0.5217;638.7778;5366.0;15.1;0.4667;0.4667;0.4;0.5333;0.4667;0.4667;mireia;1;
10;28.0;91.0714;144.9643;0.7143;2.7085;0.5238;380.8462;4059.0;28.2;0.3929;0.5714;0.4286;0.5357;0.3929;0.5714;mireia;1;
