Unnamed: 0,trial,discarted,calibrate,mean_distance,mean_distance_cal,mean_distance_10,mean_distance_cal_10,mean_distance_nr,fix_removed,best
0,10.1,False,False,7.36,57.18,,,,0,False
1,10.2,False,False,3.97,24.63,,,,0,True
2,11.2,False,True,22.53,18.09,,,,0,True
3,11.1,False,False,18.96,193.58,,,,0,False
4,6.1,False,False,25.53,55.91,,,,0,False
5,6.2,False,False,25.87,102.86,,,,0,True
6,16.1,False,False,3.95,120.78,,,,0,False
7,16.2,False,False,5.93,190.44,,,,0,True
8,15.2,False,False,3.95,51.7,,,,0,True
9,15.1,False,False,25.59,166.32,,,,0,False
10,28.2,False,False,2.88,51.81,,,,0,True
11,28.1,False,False,4.33,31.32,,,,0,False
12,13.2,False,False,3.93,20.33,,,,0,True
13,13.1,False,False,16.68,239.65,,,,0,False
14,5.2,False,True,25.84,21.73,,,,0,True
15,5.1,False,False,9.11,68.26,,,,0,False
16,23.2,False,False,21.93,80.81,,,,0,True
17,23.1,False,True,27.39,6.34,,,,0,False
18,27.1,False,False,2.9,53.55,,,,0,False
19,27.2,False,False,1.76,72.34,,,,0,True
20,7.2,False,False,0.84,11.65,,,,0,False
21,7.1,False,False,26.29,189.69,,,,0,True
22,2.1,False,False,4.69,204.58,,,,0,True
23,2.2,False,False,39.39,150.75,,,,0,False
24,18.1,False,False,32.8,184.27,,,,0,True
25,18.2,False,False,45.78,188.0,,,,0,False
26,12.2,False,True,31.01,27.63,,,,0,True
27,12.1,False,False,88.73,528.42,,,35.47,1,False
28,19.1,False,False,25.23,53.71,,,,0,True
29,19.2,False,True,43.02,5.74,,,,0,False
30,24.2,False,False,6.6,47.55,,,,0,True
31,24.1,False,False,4.46,10.72,,,,0,False
32,26.2,False,False,5.2,72.64,,,,0,False
33,26.1,False,False,3.75,175.22,,,,0,True
34,1.2,False,False,5.7,133.68,,,,0,False
35,1.1,False,False,26.44,184.92,,,,0,True
36,30.2,False,False,0.67,148.63,,,,0,False
37,30.1,False,False,2.79,105.27,,,,0,True
38,21.2,False,False,9.71,23.99,,,,0,False
39,21.1,False,False,31.17,134.07,,,,0,True
40,25.2,False,False,7.1,40.11,,,,0,False
41,25.1,False,False,6.98,13.34,,,,0,True
42,4.1,False,False,4.04,44.59,,,,0,True
43,4.2,False,False,6.05,39.97,,,,0,False
44,20.2,False,False,32.93,87.62,,,,0,False
45,20.1,False,False,2.96,121.67,,,,0,True
46,14.1,False,False,8.01,45.52,,,,0,False
47,14.2,False,False,4.25,59.17,,,,0,True
48,9.1,False,False,6.76,114.58,,,,0,False
49,9.2,False,False,2.2,57.62,,,,0,True
50,22.1,False,False,7.54,90.37,,,,0,False
51,22.2,False,False,48.95,176.98,,,,0,True
52,29.2,False,False,41.58,184.52,,,,0,True
53,29.1,False,False,57.64,167.22,,,,0,False
54,8.2,False,False,41.4,222.87,,,,0,False
55,8.1,False,False,29.16,131.3,,,,0,True
56,17.2,False,False,12.6,65.36,,,,0,False
57,17.1,False,False,47.3,176.81,,,,0,True
58,3.2,False,False,3.34,118.08,,,,0,True
59,3.1,False,False,5.45,47.9,,,,0,False
60,10.0,False,False,25.2,,,,,0,False
61,11.0,False,False,29.21,101.39,,,,0,False
62,6.0,False,False,30.36,184.59,,,,0,False
63,16.0,False,False,23.45,199.83,,,,0,False
64,15.0,False,False,23.73,221.22,,,,0,False
65,28.0,False,False,56.36,131.28,,,,0,False
66,13.0,False,False,43.52,128.89,,,,0,False
67,5.0,False,False,29.04,211.56,,,,0,False
68,23.0,False,False,54.13,169.99,,,,0,False
69,27.0,False,True,18.98,1.48,,,,0,False
70,7.0,False,False,66.03,187.11,,,,0,False
71,2.0,False,False,44.62,162.59,,,42.43,1,False
72,18.0,False,False,52.16,192.2,,,,0,False
73,12.0,False,False,823.03,841.84,,,,1,False
74,19.0,False,False,44.36,1011.98,,,,0,False
75,24.0,False,True,59.85,11.22,,,,0,False
76,26.0,False,False,33.83,166.69,,,,0,False
77,1.0,False,False,63.29,173.47,,,58.12,1,False
78,30.0,False,False,52.98,160.38,,,,0,False
79,21.0,False,False,24.62,216.17,,,,0,False
80,25.0,True,False,,,,,,0,False
81,4.0,True,False,,,,,,0,False
82,20.0,True,False,797.96,1140.99,769.75,1114.41,,0,False
83,14.0,True,False,,,,,,0,False
84,9.0,False,False,64.13,209.42,,,,0,False
85,22.0,True,False,,,,,,0,False
86,29.0,True,False,,,,,,0,False
87,8.0,True,False,,,,,,0,False
88,17.0,False,False,60.65,148.32,,,,0,False
89,3.0,True,False,,,,,,0,False
