number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;35.1;35.1;0.2;0.005389679040570539;0.011295328135738672;0.006335282651072124;The
1;216.6;141.6;0.8;0.038760960668831355;0.04876683299835175;0.03197100240443894;man
2;28.4;28.4;0.2;0.0069465645224436184;0.009351497314397637;0.011396011396011397;in
3;60.1;60.1;0.3;0.010525223824126798;0.019892967992727762;0.012217635592248595;the
4;306.2;182.7;1.8;0.064839848505924;0.0685995391068257;0.07662860063479258;image
5;58.3;58.3;0.3;0.012496245232827757;0.023423994345246783;0.01336936936936937;is
6;421.8;217.7;2.1;0.09506989992398515;0.07942412670104501;0.09109899911138301;riding
7;435.8;174.3;2.0;0.08355625999589014;0.06554136053638986;0.0799522055311529;skis
8;415.7;213.4;1.9;0.09805513485721834;0.08293263871766046;0.09513438345636488;down
9;114.2;76.6;0.7;0.026395006997741905;0.03238159516329779;0.03285809117388065;a
10;959.9;233.4;4.3;0.18868290408357577;0.09041467019990419;0.1851461634805288;snow-covered
11;342.5;240.1;1.5;0.06800566065009982;0.08527976786906652;0.06897390834852135;slope
12;223.4;171.7;1.0;0.056873960815554604;0.06740460620659633;0.05779272716734017;while
13;380.2;258.4;1.5;0.08739798641122183;0.09928225822223838;0.07898524741868396;holding
14;81.7;56.7;0.4;0.016987024635885983;0.01889813008515314;0.01832388663967611;an
15;196.6;150.8;0.9;0.04177211903080141;0.05591275317829566;0.04505066410948764;ax
16;163.3;144.2;0.6;0.04399946301166581;0.06120421255322974;0.03985202396967103;in
17;99.0;99.0;0.4;0.019738244396136723;0.03291751104856888;0.01878949510528458;his
18;151.7;111.6;0.7;0.034507813395498424;0.04707620962526574;0.03612430244009192;hand.
