number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;25.0;25.0;0.2222222222222222;0.0012975886093186879;0.0019315197531244018;0.0019617419617419616;The
1;231.33333333333334;200.0;1.1111111111111112;0.013617085445306914;0.016577711091418753;0.013964335434254543;quote
2;94.33333333333333;44.333333333333336;0.5555555555555556;0.003448498938614808;0.002766142465718404;0.004291212663305687;"""Little"
3;63.0;63.0;0.4444444444444444;0.0031701524632405443;0.004254530890989736;0.005124517844436955;things
4;80.44444444444444;80.44444444444444;0.4444444444444444;0.005378025179848547;0.0066812081178068;0.007044270142096229;can
5;68.44444444444444;68.44444444444444;0.3333333333333333;0.0022152144972900235;0.0037582192262800404;0.002809731181824205;grow
6;96.22222222222223;96.22222222222223;0.4444444444444444;0.005280887393820621;0.0073123792709389145;0.005053529401355488;"big"""
7;29.666666666666668;29.666666666666668;0.1111111111111111;0.0007815244116613979;0.001458538184201901;0.000777000777000777;is
8;209.11111111111111;159.11111111111111;1.1111111111111112;0.013260212809226355;0.014054238913604519;0.013557705027624137;significant
9;210.88888888888889;135.0;1.2222222222222223;0.01060125612226864;0.010302517948009593;0.01414521398722612;because
10;14.88888888888889;14.88888888888889;0.1111111111111111;0.0009154506203202712;0.0012978459631179295;0.001221001221001221;it
11;295.3333333333333;185.11111111111111;1.2222222222222223;0.01693103721188231;0.015367608533493615;0.015075446545365655;emphasizes
12;103.77777777777777;103.77777777777777;0.4444444444444444;0.005031010875488224;0.007183555834739588;0.004349048696874784;the
13;301.1111111111111;173.33333333333334;1.4444444444444444;0.01716212508314767;0.014729822340114515;0.01742649324423844;importance
14;75.0;75.0;0.3333333333333333;0.004023504488641297;0.005975955375183616;0.0034432234432234437;of
15;130.55555555555554;119.44444444444444;0.8888888888888888;0.007567660228525449;0.00957567710560713;0.011335482805401916;paying
16;423.3333333333333;222.44444444444446;2.0;0.022215595921780743;0.017027066882434466;0.02244955391947303;attention
17;90.77777777777777;64.88888888888889;0.4444444444444444;0.00968871124292175;0.008814737560197981;0.007206214328307352;to
18;242.44444444444446;146.11111111111111;1.4444444444444444;0.012872923851336105;0.01172932632353212;0.016931368401287512;small
19;325.1111111111111;194.44444444444446;1.6666666666666667;0.01974373750227854;0.015915128576309997;0.021652943122862235;details
20;56.55555555555556;56.55555555555556;0.3333333333333333;0.0027347542748406076;0.004166448414836014;0.00347948347948348;and
21;353.77777777777777;187.11111111111111;1.7777777777777777;0.020186928268559844;0.015785355678079736;0.02081595065796279;considering
22;163.0;137.0;0.7777777777777778;0.00798730396274319;0.008919743280796408;0.008630692978519065;their
23;357.44444444444446;233.33333333333334;1.5555555555555556;0.02251927120089989;0.020967746888191204;0.019392305210050406;potential
24;294.22222222222223;168.33333333333334;1.4444444444444444;0.01956542926749592;0.014919604876380416;0.018962670432589545;impact.
25;25.88888888888889;25.88888888888889;0.1111111111111111;0.0009478942914795287;0.0014431623216951274;0.0010582010582010583;It
26;394.55555555555554;264.77777777777777;1.6666666666666667;0.026350041450907104;0.022954402926645773;0.022393683863602975;suggests
27;211.22222222222223;140.77777777777777;0.8888888888888888;0.008818541246507244;0.009508631933851831;0.008277648277648278;that
28;507.44444444444446;235.22222222222223;2.2222222222222223;0.027844312350549613;0.02078587756389653;0.026167751985497183;seemingly
29;463.8888888888889;230.66666666666666;2.0;0.023640803584797986;0.01831407398512574;0.024080579898325096;insignificant
30;395.6666666666667;163.11111111111111;2.2222222222222223;0.022955139291091973;0.013813615442265118;0.028142952710697906;occurrences
31;108.33333333333333;89.0;0.6666666666666666;0.004977358585041893;0.006395028696662922;0.00638953638953639;or
32;375.3333333333333;295.55555555555554;1.3333333333333333;0.022275079163856536;0.0241908210624798;0.016687538157457268;actions
33;138.0;93.55555555555556;0.5555555555555556;0.005116724574715144;0.0054068798662885754;0.0046457889936150805;can
34;146.33333333333334;113.0;0.6666666666666666;0.008907957070286694;0.009303527128756699;0.00786504623713926;have
35;104.77777777777777;104.77777777777777;0.5555555555555556;0.007443072990407519;0.009005356438735368;0.008173459643378754;a
36;213.77777777777777;130.55555555555554;1.3333333333333333;0.012395320467703651;0.01063439894645344;0.017205667371238655;significant
37;405.55555555555554;255.66666666666666;1.4444444444444444;0.019270687473072493;0.01887409800986247;0.015168917888837;impact
38;50.0;50.0;0.2222222222222222;0.001902875473548411;0.003091619593822726;0.001998001998001998;on
39;183.11111111111111;127.66666666666667;0.6666666666666666;0.00613307184284497;0.007268989268341723;0.005632145632145633;the
40;322.44444444444446;172.33333333333334;1.5555555555555556;0.017641269824538938;0.01416717279730758;0.018441352631190854;bigger
41;295.3333333333333;220.33333333333334;1.2222222222222223;0.016167135099102378;0.018373882113262137;0.014470431592524615;picture,
42;227.77777777777777;147.33333333333334;1.0;0.011867211718106993;0.011849697130686872;0.011362174460000547;and
43;269.55555555555554;144.44444444444446;1.2222222222222223;0.015539455550562242;0.013918078106786346;0.014588104430116563;that
44;98.22222222222223;98.22222222222223;0.4444444444444444;0.00379691146243103;0.0060468103638225724;0.004057424057424058;one
45;277.6666666666667;212.88888888888889;1.3333333333333333;0.014812195141377623;0.016657385241205382;0.01599706583907797;should
46;55.55555555555556;55.55555555555556;0.2222222222222222;0.0025398293739447653;0.0037358754443133375;0.0022792022792022795;not
47;403.0;203.66666666666666;2.0;0.019961513830523147;0.014884813583066916;0.0199725810645932;underestimate
48;118.66666666666667;57.44444444444444;0.5555555555555556;0.004179551552277729;0.003243208144079956;0.004656084656084656;the
49;199.0;191.55555555555554;0.8888888888888888;0.010269205206592734;0.013410538776005553;0.00984308093509307;power
50;73.88888888888889;73.88888888888889;0.4444444444444444;0.005391582756782014;0.006686556775242607;0.007123015873015874;of
51;160.22222222222223;106.44444444444444;1.0;0.007990839709488618;0.008343140542181783;0.010173796917982965;small
52;126.11111111111111;126.11111111111111;0.4444444444444444;0.004826872313780735;0.007081009687027869;0.004186248534074621;things.
53;192.44444444444446;168.44444444444446;0.7777777777777778;0.007486393827472588;0.010501565574447091;0.007681526053619077;This
54;383.3333333333333;177.77777777777777;1.1111111111111112;0.023114247045464522;0.014642528608015062;0.014192625662544775;quote
55;42.55555555555556;42.55555555555556;0.3333333333333333;0.001701623833959312;0.0027442469486873844;0.003280423280423281;can
56;105.55555555555556;105.55555555555556;0.4444444444444444;0.006319357405427162;0.008992077876404998;0.005331335331335331;be
57;253.88888888888889;211.22222222222223;1.1111111111111112;0.014648686286336575;0.01716093371481699;0.01317068464060375;applied
58;165.0;165.0;0.4444444444444444;0.0069819065485481014;0.009947810569345303;0.004701237421156531;in
59;248.11111111111111;213.77777777777777;1.1111111111111112;0.012863745289270458;0.015528564462946204;0.011994314714233824;various
60;260.22222222222223;185.33333333333334;1.3333333333333333;0.017514732257680823;0.016857203185283495;0.01633524617725831;contexts,
61;139.88888888888889;98.11111111111111;0.5555555555555556;0.0045273335858102386;0.005331347942816173;0.004057424057424057;such
62;50.0;50.0;0.2222222222222222;0.0025876597370121123;0.003467604900293877;0.0023501907222837457;as
63;253.77777777777777;181.55555555555554;1.2222222222222223;0.015045322962934822;0.015417227660162958;0.015043256513175625;personal
64;275.8888888888889;147.22222222222223;1.4444444444444444;0.01326860364252974;0.010831478378094651;0.014735341803087002;growth,
65;368.55555555555554;150.0;1.8888888888888888;0.01572824593737356;0.010366469422950837;0.01833236942438156;business,
66;111.0;94.33333333333333;0.4444444444444444;0.004118189875387413;0.0058517371457012714;0.00347948347948348;or
67;330.6666666666667;178.77777777777777;1.2222222222222223;0.01354856731749104;0.011203441538430583;0.011824432916445051;even
68;274.1111111111111;163.0;1.1111111111111112;0.0112025624430221;0.010483634554273797;0.00997966269958181;global
69;174.0;136.0;0.8888888888888888;0.0077652418221639576;0.00926829799123036;0.008847831567750679;issues,
70;53.666666666666664;53.666666666666664;0.2222222222222222;0.002241298772685116;0.0033407785412428764;0.0022792022792022795;as
71;112.0;74.0;0.4444444444444444;0.0051644164648556225;0.005541832020883901;0.00399447236656539;it
72;316.55555555555554;206.33333333333334;1.4444444444444444;0.01383058797148305;0.014279400294348269;0.014642777362696473;reminds
73;51.888888888888886;51.888888888888886;0.3333333333333333;0.003287527661878744;0.004477857074215604;0.00399447236656539;us
74;218.55555555555554;112.11111111111111;0.6666666666666666;0.007249717213426705;0.006763298876371898;0.005902194274287297;to
