number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;58.4;38.4;0.3;0.010426943137207618;0.01552783801595394;0.010855683269476373;The
1;293.2;161.8;1.5;0.054662247130927585;0.0682713733487085;0.06615202234077007;prominent
2;357.0;138.3;2.1;0.06417799774279107;0.06065430412734182;0.08793363153617237;objects
3;134.4;47.6;0.7;0.020496482338745917;0.02261553641730547;0.0304093567251462;in
4;39.9;39.9;0.2;0.006254380232647405;0.013807330976156135;0.006335282651072124;the
5;658.4;186.6;1.9;0.09826982156205413;0.08292053974421729;0.0857739219172976;image
6;336.6;206.6;1.3;0.04960098134641294;0.07776509412509802;0.050751373382952325;include
7;98.3;66.7;0.6;0.024667008015398378;0.03675276705390649;0.02882637628554144;a
8;644.9;169.1;2.4;0.09304475861623449;0.0758415023044823;0.09170048946818457;train,
9;23.4;23.4;0.1;0.0021323127392017496;0.007351555136663525;0.0027777777777777775;a
10;860.5;269.0;3.6;0.1766626813231986;0.12458330532299274;0.1540232329343037;station
11;599.7;220.8;2.9;0.12349992737085769;0.09587122635222298;0.14162581654414685;platform,
12;250.0;111.6;1.0;0.04579401366100614;0.04293273052243117;0.04240740740740741;and
13;160.8;84.2;0.8;0.04008793549987887;0.040086541849908106;0.036680110237279025;a
14;400.8;248.4;1.7;0.09505373378520282;0.11974110619635299;0.08722463595421853;train
15;387.5;253.3;1.5;0.0951687754982346;0.11527724850625856;0.07652288156825363;station.
