number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;19.2;19.2;0.1;0.015250198570293885;0.02002085505735141;0.0125;The
1;60.1;60.1;0.3;0.036518748997316004;0.052910624222234824;0.03864468864468864;name
2;13.3;13.3;0.1;0.011167086481947943;0.011167086481947943;0.016666666666666666;of
3;64.9;23.3;0.2;0.010145380647178365;0.009052059052059053;0.01111111111111111;the
4;192.4;131.6;1.1;0.09746259322311068;0.11575039609123014;0.12264041514041515;school
5;356.1;176.0;1.7;0.16697572158476942;0.1445857485657426;0.16871184371184372;mentioned
6;45.0;28.3;0.3;0.024970727613534145;0.02249533126139267;0.03205128205128205;in
7;168.5;150.2;0.8;0.09383287727354536;0.12638626235672573;0.1078968253968254;the
8;350.3;155.2;1.5;0.15060327973601476;0.11864953936069586;0.1467338217338217;image
9;48.2;48.2;0.3;0.021247037618236875;0.0388248611790427;0.028174603174603175;is
10;521.7;300.1;1.6;0.25925907216149263;0.2433188884940253;0.19666056166056164;Witch
11;288.1;135.6;1.1;0.11256727609255994;0.09683834787755179;0.1182081807081807;School.
