number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;53.3;53.3;0.2;0.002491305926820354;0.003737800494133703;0.0023583662714097495;The
1;245.9;163.3;1.3;0.0319543581030993;0.03382329322730932;0.029756969593632547;bedroom
2;47.5;47.5;0.2;0.0033566281903044796;0.0043968125599561205;0.002992424242424242;in
3;68.3;68.3;0.4;0.004074280720536378;0.006356097730421855;0.005545818839079873;the
4;233.3;163.2;1.4;0.025722684482198575;0.028580414656748106;0.03184030292696588;image
5;100.0;70.0;0.4;0.004751777832344021;0.0056221108603237875;0.004962372434737947;has
6;68.4;68.4;0.3;0.01614182687482154;0.020479158731989813;0.015687452567670124;a
7;249.3;187.6;1.4;0.022338086079343008;0.024996271887717962;0.03233722542907981;modern
8;126.6;126.6;0.5;0.006968052217133616;0.010237617565240522;0.007350149437029614;and
9;439.8;334.1;1.7;0.050866739001130624;0.043090143736299116;0.04850367578599091;stylish
10;455.1;220.8;1.9;0.03847252665459678;0.03229200386855208;0.039126961245311745;appearance,
11;410.2;241.8;1.7;0.04518034980417906;0.042753261916931844;0.036993209721663714;featuring
12;0.0;0.0;0.0;0.0;0.0;0.0;a
13;351.6;234.0;1.4;0.024104518809265826;0.023880491225283455;0.021787855374518324;large
14;155.0;111.7;0.7;0.011009334021073769;0.010952123669663801;0.012172599334862545;bed
15;292.4;197.3;1.2;0.019038914905772322;0.018849203728064326;0.018554478581819498;with
16;302.4;162.4;1.3;0.020048080749611966;0.01585418143154845;0.02021080179824502;white
17;292.5;174.1;1.3;0.021232936906092383;0.016672996901718865;0.020411928683860943;pillows
18;211.7;131.9;0.8;0.01411314431262813;0.013096463671080447;0.011777007331841855;and
19;12.5;12.5;0.1;0.0007057760713680764;0.000966295609152752;0.0015384615384615385;a
20;346.0;183.5;1.6;0.026643384595775164;0.018197683297112625;0.026506868502087423;white
21;335.4;116.0;1.8;0.024327235248094964;0.011100022800991493;0.029517303467994388;comforter.
22;72.7;72.7;0.4;0.00491400705047943;0.0072481042380827445;0.005669085403024404;The
23;154.2;154.2;0.7;0.013131007642702535;0.016067588847425106;0.011933040318590191;room
24;16.7;16.7;0.1;0.0013514607105284454;0.002404261445436222;0.0014925373134328358;is
25;413.3;321.6;1.1;0.03211450356692597;0.03137721253138754;0.019132099371153462;dimly
26;64.2;64.2;0.3;0.003568152396389173;0.0048805123307762485;0.004176548089591568;lit,
27;356.8;181.7;1.5;0.024707560701057743;0.018251814213266215;0.024184375526370795;creating
28;0.0;0.0;0.0;0.0;0.0;0.0;a
29;145.1;126.7;0.7;0.010662620995511704;0.013730444767313313;0.010622293959174137;cozy
