number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.0;0.0;0.0;0.0;0.0;0.0;No,
1;216.8;160.0;1.1;0.02606809968501365;0.025631558242836257;0.026927879761452216;there
2;90.0;90.0;0.5;0.009575709275077025;0.013234778005412373;0.011251660555821243;is
3;45.1;45.1;0.2;0.004389170147286456;0.005349042076128287;0.004629629629629629;no
4;168.7;138.7;1.1;0.02281756331507185;0.024060253271783575;0.029475836613569756;chicken
5;48.3;48.3;0.3;0.0058297134454737545;0.00724282765053734;0.007733142037302726;in
6;81.6;81.6;0.4;0.007566446594028825;0.010413621900937833;0.008257080610021787;this
7;111.7;111.7;0.6;0.01444988129694776;0.017616249668266106;0.016229874063446517;image.
8;43.4;43.4;0.3;0.0047686607234891714;0.006355354545718677;0.006568627450980392;The
9;304.9;204.9;1.3;0.04244925858339394;0.03455971398913483;0.035880002616014095;image
10;63.3;63.3;0.3;0.006983276948649589;0.009491563184241252;0.00685185185185185;shows
11;165.9;150.9;0.7;0.02026137625543032;0.02335364245863506;0.019594824379616342;a
12;228.3;205.0;0.9;0.0267979533160917;0.03067829185310818;0.02252617035974281;street
13;172.6;155.9;0.8;0.022174769898639833;0.024188011545277367;0.022505221809382497;scene
14;248.2;211.6;0.9;0.03301002441330563;0.034456081092335895;0.02482464530527658;with
15;309.9;206.6;1.3;0.03954270692540438;0.03436007364801584;0.03517384231157546;cows.
16;219.2;128.3;1.1;0.02384131723242989;0.018718209330225867;0.025759338965938676;There
17;174.8;174.8;0.8;0.022589958798023523;0.0268667613719857;0.022081447963800904;is
18;45.9;24.2;0.2;0.0036370839936608556;0.002451377633711507;0.0037037037037037034;a
19;333.2;283.3;1.3;0.03853807788929596;0.042255170115406616;0.03362616341095538;white
20;56.6;56.6;0.3;0.005610341525307985;0.007585933586971283;0.00717758648174717;cow
21;125.8;110.0;0.5;0.011942734430462433;0.014600215301302375;0.01058717253839205;with
22;138.2;138.2;0.6;0.018505546732906948;0.022327083568195558;0.016383442265795207;a
23;157.6;102.6;0.9;0.018477562979826542;0.017215242229607346;0.021349474957796336;bell
24;368.1;171.7;1.8;0.04350771350886352;0.027922596285172373;0.043954023552301894;around
25;123.4;123.4;0.3;0.011459562414322104;0.014584790130271506;0.0076587900117311885;its
26;163.3;148.3;0.7;0.018002906926411384;0.020792546405867154;0.01715579998937244;neck
27;204.1;145.0;1.0;0.02269601168443509;0.021772452375021203;0.024042232277526394;looking
28;234.2;148.4;1.0;0.025999862024909483;0.023446267672269656;0.023714596949891066;directly
29;63.3;63.3;0.2;0.008162174026750355;0.01023205438414564;0.005772357723577236;at
30;108.3;63.3;0.5;0.010506964797068984;0.009168637328395207;0.011545778202880068;the
31;241.7;168.4;1.3;0.027195120868659984;0.026740435481290716;0.03373615862855461;camera,
32;65.1;38.4;0.5;0.005870125194585729;0.004753704319968179;0.010651469259790637;and
33;212.8;157.7;1.2;0.027903579343923967;0.02565506089360558;0.03004441092676387;another
34;88.3;88.3;0.4;0.009628528669203168;0.01161349216788209;0.01008714596949891;cow
35;141.6;121.6;0.6;0.016443043250787066;0.019442745454387473;0.01421462351878421;in
36;208.3;152.5;0.9;0.027693226840476953;0.02504155999420691;0.024227417462711582;front
37;55.0;55.0;0.3;0.007391659648442822;0.009170136808425959;0.00829059829059829;of
38;36.6;36.6;0.2;0.004216106615532645;0.005191843736621222;0.005294117647058823;it
39;144.3;91.8;0.6;0.01798037330805678;0.015424711235921523;0.015337465818097095;seen
40;189.2;132.6;0.9;0.02207191154303509;0.018774631106530357;0.02230936819172113;from
41;236.6;153.3;1.2;0.03012701279957348;0.025675546052156984;0.03179609805147825;behind.
42;164.9;143.3;0.6;0.018424328394792293;0.020303079312925416;0.014237472766884533;There
43;96.7;96.7;0.4;0.01829558602418864;0.020185766897641733;0.01366096866096866;are
44;129.8;88.2;0.7;0.014653937601857295;0.01324756741052388;0.0162962962962963;also
45;180.0;131.7;1.0;0.024630288025694662;0.021007062450941087;0.026907993966817496;people
46;8.3;8.3;0.1;0.0014705882352941176;0.0017223490350695165;0.003333333333333333;in
47;41.8;41.8;0.3;0.005649175630850191;0.006367387023875584;0.008888888888888887;the
48;267.4;164.1;1.5;0.03258276118400879;0.027599128976219234;0.03832008976198359;background,
49;71.7;71.7;0.3;0.010389869830317366;0.011977084899157539;0.008888888888888887;but
50;60.8;60.8;0.3;0.00675064149534616;0.008186560641867856;0.007679738562091504;no
51;253.9;187.3;1.3;0.033397449937159575;0.031904501723644216;0.03381134859614056;chickens
52;10.0;10.0;0.1;0.0015748031496062992;0.0017167381974248926;0.0029411764705882353;are
53;196.5;149.9;1.2;0.02991540494227891;0.02624580530844814;0.034522373051784815;visible
54;0.0;0.0;0.0;0.0;0.0;0.0;in
55;43.3;43.3;0.3;0.006240637865624184;0.006910855671426705;0.00812636165577342;the
56;189.9;189.9;0.8;0.02934140981272491;0.03421184434891937;0.023453996983408748;photograph.
