number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;18.4;18.4;0.1;0.0029534510433386835;0.004009588145565483;0.0035714285714285713;In
1;163.2;113.3;0.8;0.0248536095293015;0.02833131564627438;0.029463550997568966;this
2;87.6;87.6;0.7;0.01787179876529672;0.02432709403760589;0.03046534017971759;image,
3;8.4;8.4;0.1;0.0009721097095243606;0.0016288539848749273;0.0024390243902439024;|
4;104.2;90.0;0.5;0.01340164886810281;0.017911205114808797;0.01609448657511785;can
5;165.1;150.1;0.8;0.03045531300259584;0.038685611582980645;0.0334781606925381;see
6;44.1;44.1;0.3;0.008061515973746686;0.010935369029818485;0.012738095238095238;a
7;249.1;210.8;1.0;0.03814513139081652;0.04747489954875968;0.03972760783981806;couch,
8;0.0;0.0;0.0;0.0;0.0;0.0;a
9;385.9;234.1;1.7;0.06696411544719058;0.05821419902604047;0.07069510009987998;chair,
10;137.6;137.6;0.6;0.0220481070713745;0.034266640041237584;0.022356606807826317;and
11;36.7;36.7;0.2;0.0049173394350184915;0.00756414197419889;0.0067873303167420825;a
12;591.7;277.3;2.2;0.1010051203716388;0.06613697506665281;0.09107971548449537;refrigerator.
13;38.3;38.3;0.2;0.005203945463197554;0.007791524558743969;0.006512605042016806;The
14;254.2;220.1;1.1;0.043923107400632024;0.052859062559247126;0.043754501998291166;couch
15;181.8;73.4;0.6;0.030024469563228795;0.022964158120050527;0.02550125313283208;is
16;399.7;281.5;1.5;0.06977321052935924;0.0720759004301443;0.06043194220514314;brown,
17;39.9;18.3;0.2;0.0045217588395285585;0.0034804108025865343;0.0058823529411764705;and
18;266.1;246.1;1.1;0.05001864655252192;0.06266232183924347;0.04608725696262508;the
19;295.9;220.1;1.3;0.0533201329515053;0.05600319292881797;0.05332409906788824;chair
20;48.2;48.2;0.2;0.005962760228350522;0.009894330869003803;0.007107843137254902;is
21;367.1;278.0;1.4;0.06220026316769632;0.0663218856885354;0.05503978534239804;black.
22;69.1;69.1;0.4;0.012539839110947363;0.016464803807884124;0.015906516650305822;The
23;468.5;184.1;1.7;0.06999229764795262;0.0434524858833041;0.057676083764205785;refrigerator
24;65.9;65.9;0.4;0.013596194326028321;0.01654125034881131;0.017965340179717588;is
25;365.6;205.7;1.5;0.05571234938514158;0.04577791276736361;0.05663398577560776;white,
26;88.4;66.7;0.4;0.011553671654947315;0.013726188434182532;0.012020905923344948;and
27;106.6;95.0;0.5;0.018781239838260706;0.021611351673882416;0.018987360521378494;it
28;76.7;76.7;0.4;0.012135769392557779;0.017700072991650436;0.014214787326997552;is
29;357.5;200.9;1.4;0.052153108982076354;0.044495748802779886;0.04820014319542372;placed
30;69.9;69.9;0.3;0.010119008499148112;0.016493260695269518;0.009546867527498804;in
31;100.8;59.2;0.5;0.014352653690797296;0.012404823932740908;0.015867059769498794;the
32;344.3;148.3;1.5;0.05492695383327732;0.03672650402853324;0.054169251486513435;kitchen
33;93.3;93.3;0.4;0.017539358334899537;0.021066915638406784;0.016273610856409316;area.
