;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;259;383;296;398;390.5;;1;[];[];0.0;0.0;0;;;848.3944761948793;;;
1;1;quote;303;384;356;402;393.0;2.5;1;[];[];0.0;0.0;0;;;788.2702604499943;;;
2;2;written;364;383;427;398;390.5;2.5;1;[np.float64(2191.0), np.float64(2192.0), np.float64(2194.0), np.float64(2195.0)];[np.float64(47.47227454185486), np.float64(49.95223426818842), np.float64(44.93406420946121), np.float64(44.27398350527888)];916.0;267.0;4;3.6994;3.6486;717.5874352897808;3.67;229.0;467.0
3;3;in;436;383;450;398;390.5;0.0;1;[np.float64(2193.0)];[np.float64(44.137815058231354)];267.0;267.0;1;3.6694;3.5935;694.6288189739298;3.63;267.0;716.0
4;4;the;458;383;488;398;390.5;0.0;1;[np.float64(2196.0)];[np.float64(43.011213389309944)];183.0;183.0;1;3.6457;3.5729;656.7035373822081;3.61;183.0;183.0
5;5;image;496;383;552;402;392.5;2.0;1;[np.float64(2197.0), np.float64(2198.0), np.float64(2199.0), np.float64(2203.0)];[np.float64(38.893661824139656), np.float64(41.131530226161246), np.float64(42.04790476390292), np.float64(43.020342004710244)];1325.0;367.0;4;3.6839;3.6044;592.5788143487582;3.64;331.25;850.0
6;6;is:;561;383;580;398;390.5;2.0;1;[];[];0.0;0.0;0;;;564.9260230009847;;;
7;7;"""forgive";589;383;661;402;392.5;2.0;1;[np.float64(2200.0), np.float64(2201.0), np.float64(2202.0), np.float64(2204.0), np.float64(2205.0), np.float64(2206.0)];[np.float64(46.070527532930875), np.float64(44.159357221503), np.float64(46.98675999315185), np.float64(47.238109339899125), np.float64(42.93190185840314), np.float64(44.29816119317309)];2475.0;916.0;6;3.539;3.4249;483.8584990806713;3.48;412.5;2950.0
8;8;yourself;669;383;746;402;392.5;0.0;1;[np.float64(2207.0)];[np.float64(49.34784896033153)];233.0;233.0;1;3.4575;3.3092;399.18247638602554;3.38;233.0;233.0
9;9;for;752;383;777;398;390.5;2.0;1;[];[];0.0;0.0;0;;;368.7755196619978;;;
10;10;not;785;384;813;398;391.0;0.5;1;[np.float64(2208.0)];[np.float64(44.56572856903074)];166.0;166.0;1;3.4779;3.3273;333.03914829459137;3.4;166.0;166.0
11;11;knowing;822;383;899;402;392.5;1.5;1;[];[];0.0;0.0;0;;;247.32637067571974;;;
12;12;what;907;383;953;399;391.0;1.5;1;[];[];0.0;0.0;0;;;194.77389458911878;;;
13;13;you;960;387;993;402;394.5;3.5;1;[np.float64(2209.0)];[np.float64(39.64243360530592)];150.0;150.0;1;3.5597;3.3504;155.1478602862634;3.46;150.0;150.0
14;14;didn't;1002;383;1052;398;390.5;4.0;1;[];[];0.0;0.0;0;;;100.67117526382357;;;
15;15;know;1060;383;1109;399;391.0;0.5;1;[];[];0.0;0.0;0;;;53.73572732293061;;;
16;16;before;1118;383;1177;399;391.0;0.0;1;[np.float64(2210.0)];[np.float64(41.333464929035756)];241.0;241.0;1;3.6012;3.3717;41.333464929035756;3.49;241.0;241.0
17;17;you;1185;387;1218;402;394.5;3.5;1;[];[];0.0;0.0;0;;;56.614550459465704;;;
18;18;lived;1227;383;1269;398;390.5;4.0;1;[];[];0.0;0.0;0;;;93.76307288642474;;;
19;19;through;716;465;787;485;475.0;84.5;2;[];[];0.0;0.0;0;;;357.190351120208;;;
20;20;"it.""";797;465;820;481;473.0;2.0;2;[];[];0.0;0.0;0;;;324.27713938639005;;;
