;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;533;770;582;786;778.0;;1;[];[];0.0;0.0;0;;;403.475161743164;;;
1;1;type;589;771;628;790;780.5;2.5;1;[np.float64(4496.0)];[np.float64(4.917101860046387)];150.0;150.0;1;3.3073;3.2025;357.475161743164;3.25;150.0;150.0
2;2;of;637;770;654;786;778.0;2.5;1;[np.float64(4494.0)];[np.float64(10.20050239562977)];200.0;200.0;1;3.2464;3.1403;331.475161743164;3.19;200.0;200.0
3;3;furniture;661;770;740;786;778.0;0.0;1;[np.float64(4495.0)];[np.float64(10.657346534728958)];250.0;250.0;1;3.291;3.1569;245.475161743164;3.22;250.0;400.0
4;4;can;748;774;780;786;780.0;2.0;1;[];[];0.0;0.0;0;;;205.475161743164;;;
5;5;you;789;774;821;790;782.0;2.0;1;[np.float64(4497.0)];[np.float64(6.557745836756801)];300.0;300.0;1;3.3558;3.2015;164.475161743164;3.28;300.0;300.0
6;6;see;830;774;862;786;780.0;2.0;1;[np.float64(4498.0)];[np.float64(6.114369392394906)];200.0;200.0;1;3.4545;3.2702;123.475161743164;3.36;200.0;200.0
7;7;in;871;770;885;786;778.0;2.0;1;[];[];0.0;0.0;0;;;100.475161743164;;;
8;8;this;893;770;926;786;778.0;0.0;1;[];[];0.0;0.0;0;;;59.475161743163994;;;
9;9;image?;934;770;1002;790;780.0;2.0;1;[np.float64(4499.0), np.float64(4500.0)];[np.float64(0.0), np.float64(0.0)];233.0;150.0;2;3.5137;3.3238;0.0;3.42;116.5;233.0
