;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;This;266;342;306;358;350.0;;1;[];[];0.0;0.0;0;;;212.39195769945465;;;
1;1;page;315;346;361;362;354.0;4.0;1;[np.float64(1410.0)];[np.float64(30.78626556396489)];267.0;267.0;1;3.3056;3.4019;157.30782379172453;3.35;267.0;267.0
2;2;shows;369;342;430;358;350.0;4.0;1;[];[];0.0;0.0;0;;;90.2761702128395;;;
3;3;a;438;346;448;358;352.0;2.0;1;[];[];0.0;0.0;0;;;73.07903115148532;;;
4;4;diagram;456;342;532;362;352.0;0.0;1;[np.float64(1411.0)];[np.float64(9.252011817693756)];267.0;267.0;1;3.2389;3.2587;19.97461502469821;3.25;267.0;267.0
5;5;showing;540;342;618;362;352.0;0.0;1;[np.float64(1412.0), np.float64(1441.0)];[np.float64(6.789045636794185), np.float64(12.804981660842941)];583.0;283.0;2;3.035;3.076;30.43680814175187;3.06;291.5;283.0
6;6;how;627;342;665;358;350.0;2.0;1;[np.float64(1413.0), np.float64(1440.0)];[np.float64(12.297341526969813), np.float64(20.771285394521897)];466.0;250.0;2;3.0095;3.0377;112.54862352694198;3.02;233.0;250.0
7;7;vehicles;673;342;750;358;350.0;0.0;1;[np.float64(1414.0)];[np.float64(10.722142028808605)];250.0;250.0;1;3.1803;3.1718;157.79739657490276;3.18;250.0;250.0
8;8;use;759;346;792;358;352.0;2.0;1;[];[];0.0;0.0;0;;;243.15033172899172;;;
9;9;noise;801;342;851;358;350.0;2.0;1;[np.float64(1415.0)];[np.float64(6.6987277984619595)];300.0;300.0;1;3.1617;3.1223;284.97576309805214;3.14;300.0;300.0
10;10;and;859;342;893;358;350.0;0.0;1;[];[];0.0;0.0;0;;;342.8048762563816;;;
11;11;vibration;901;342;982;358;350.0;0.0;1;[np.float64(1416.0)];[np.float64(7.546087265014648)];334.0;334.0;1;3.1576;3.1074;384.71325025082194;3.13;334.0;334.0
12;12;reduction;990;342;1078;358;350.0;0.0;1;[np.float64(1417.0), np.float64(1418.0), np.float64(1419.0)];[np.float64(2.801258555277332), np.float64(0.0), np.float64(0.9745622721585505)];550.0;100.0;3;;3.1074;473.57274346567937;;183.3333;550.0
13;13;systems;1086;343;1165;362;352.5;2.5;1;[];[];0.0;0.0;0;;;569.3160122673853;;;
14;14;to;1173;343;1190;358;350.5;2.0;1;[];[];0.0;0.0;0;;;656.4034698201931;;;
15;15;reduce;1198;342;1263;358;350.0;0.5;1;[np.float64(1420.0), np.float64(1421.0)];[np.float64(3.932964501014112), np.float64(0.5866028785706021)];591.0;433.0;2;3.1906;3.1801;681.3874008471962;3.19;295.5;591.0
16;16;their;276;425;318;440;432.5;82.5;2;[];[];0.0;0.0;0;;;203.63181776413404;;;
