;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;533;770;582;786;778.0;;1;[np.float64(2664.0)];[np.float64(1.5389818847179413)];267.0;267.0;1;3.0894;3.2019;355.4330015916091;3.15;267.0;267.0
1;1;type;589;771;628;790;780.5;2.5;1;[];[];0.0;0.0;0;;;309.4330015916091;;;
2;2;of;637;770;654;786;778.0;2.5;1;[];[];0.0;0.0;0;;;283.4330015916091;;;
3;3;furniture;661;770;740;786;778.0;0.0;1;[np.float64(2665.0)];[np.float64(0.0)];317.0;317.0;1;3.0531;3.0645;197.43300159160913;3.06;317.0;317.0
4;4;can;748;774;780;786;780.0;2.0;1;[np.float64(2666.0)];[np.float64(5.060168892145157)];234.0;234.0;1;3.0037;2.9212;157.43300159160913;2.96;234.0;234.0
5;5;you;789;774;821;790;782.0;2.0;1;[];[];0.0;0.0;0;;;116.43300159160913;;;
6;6;see;830;774;862;786;780.0;2.0;1;[np.float64(2667.0)];[np.float64(0.0)];233.0;233.0;1;3.0325;2.9809;75.43300159160913;3.01;233.0;233.0
7;7;in;871;770;885;786;778.0;2.0;1;[];[];0.0;0.0;0;;;52.43300159160913;;;
8;8;this;893;770;926;786;778.0;0.0;1;[];[];0.0;0.0;0;;;11.433001591609127;;;
9;9;image?;934;770;1002;790;780.0;2.0;1;[np.float64(2668.0)];[np.float64(0.0)];217.0;217.0;1;3.0434;3.0095;0.0;3.03;217.0;217.0
