;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;47;4.43;347.1702;546.3404;0.8511;2.9045;0.6829;1476.4545;25678.0;7.2;0.383;0.5957;0.3617;0.617;0.383;0.5957;sina;1
1;2;5.5;1650.0;1650.0;1.0;2.86;0.0;2033.5;3300.0;7.1;0.5;0.0;0.5;0.0;0.0;0.5;sina;1
2;116;4.3;376.8103;482.5;0.5172;2.9004;0.7705;1289.44;55970.0;25.2;0.3448;0.6466;0.3276;0.6638;0.2845;0.7069;sina;1
3;120;4.68;341.75;482.575;0.6667;2.9856;0.8025;1257.2115;57909.0;25.1;0.3;0.6917;0.2917;0.7;0.2333;0.7583;sina;1
4;12;4.17;247.0;399.9167;0.8333;3.3514;0.5455;1028.5714;4799.0;1.1;0.5;0.4167;0.3333;0.5833;0.3333;0.5833;sina;1
5;46;4.07;275.587;539.2826;0.7174;3.2516;0.6471;1537.2632;24807.0;1.2;0.2174;0.7609;0.2609;0.7174;0.1957;0.7826;sina;1
6;30;4.3;365.8667;397.0;0.5667;2.9113;0.7222;816.2667;11910.0;8.1;0.3;0.6667;0.3;0.6667;0.2667;0.7;sina;1
7;16;4.62;343.75;352.0625;0.5;2.9243;0.6667;804.7143;5633.0;8.2;0.375;0.5625;0.375;0.5625;0.3125;0.625;sina;1
8;41;4.0;386.4146;422.8049;0.439;2.9093;0.6842;1252.5;17335.0;30.2;0.2683;0.7073;0.2927;0.6829;0.2195;0.7561;sina;1
9;106;4.65;252.2358;353.4717;0.6792;2.9181;0.7397;870.5385;37468.0;24.1;0.3208;0.6698;0.3113;0.6792;0.283;0.7075;sina;1
10;110;4.23;247.8545;274.8182;0.5182;2.9904;0.8276;742.4468;30230.0;24.2;0.3545;0.6364;0.3545;0.6364;0.2909;0.7;sina;1
11;7;5.29;223.7143;485.7143;0.7143;3.3867;0.3333;1133.3333;3400.0;11.1;0.4286;0.4286;0.2857;0.5714;0.4286;0.4286;sina;1
12;15;5.07;313.2667;582.6667;1.0667;3.2112;0.4706;1247.625;8740.0;11.2;0.4;0.5333;0.4;0.5333;0.3333;0.6;sina;1
13;136;4.16;175.3456;183.0;0.3603;3.0942;0.84;569.3778;24888.0;21.2;0.2868;0.7059;0.2868;0.7059;0.2353;0.7574;sina;1
14;55;4.0;330.4545;343.7818;0.4182;3.0291;0.8333;890.1364;18908.0;21.1;0.2727;0.7091;0.2727;0.7091;0.2364;0.7455;sina;1
15;8;6.5;416.625;537.5;1.125;3.086;0.4;906.6;4300.0;22.2;0.5;0.375;0.625;0.25;0.375;0.5;sina;1
16;48;4.04;130.4375;198.625;0.5;3.0422;0.8;649.6667;9534.0;22.1;0.2917;0.6875;0.2917;0.6875;0.1875;0.7917;sina;1
17;89;4.3;174.4719;182.0562;0.3483;3.1845;0.8438;564.4828;16203.0;5.1;0.2472;0.7416;0.2472;0.7416;0.1798;0.809;sina;1
18;55;4.58;347.7273;402.8909;0.5818;3.1237;0.8182;841.7037;22159.0;5.2;0.4;0.5818;0.4;0.5818;0.3273;0.6545;sina;1
19;76;4.41;127.1974;158.3553;0.2895;3.1147;0.6957;712.3684;12035.0;12.2;0.2237;0.7632;0.2237;0.7632;0.2237;0.7632;sina;1
20;16;4.19;436.0;528.1875;0.625;3.0743;0.5455;1207.2857;8451.0;12.1;0.3125;0.625;0.375;0.5625;0.3125;0.625;sina;1
21;21;5.0;201.5714;242.8571;0.5714;3.186;0.6923;590.1;5100.0;26.1;0.4286;0.5238;0.381;0.5714;0.381;0.5714;sina;1
22;85;4.95;210.2588;239.2941;0.5529;3.2187;0.8333;560.0;20340.0;26.2;0.3294;0.6588;0.3412;0.6471;0.2471;0.7412;sina;1
23;74;4.62;304.8649;325.1351;0.4459;3.5365;0.7647;899.7778;24060.0;9.1;0.2568;0.7297;0.2568;0.7297;0.2162;0.7703;sina;1
24;59;4.58;201.661;220.8644;0.4237;2.9341;0.8077;592.3182;13031.0;9.2;0.322;0.661;0.339;0.6441;0.2203;0.7627;sina;1
25;8;4.88;254.25;308.5;0.875;2.9;0.5;493.6;2468.0;18.1;0.5;0.375;0.5;0.375;0.375;0.5;sina;1
