;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;In;273;220;289;235;227.5;;1;[];[];0.0;0.0;0;;;938.3880193760003;;;
1;1;this;297;220;330;235;227.5;0.0;1;[np.float64(1838.0)];[np.float64(7.857596588134754)];83.0;83.0;1;3.3249;3.0544;901.1907218862092;3.19;83.0;83.0
2;2;scene,;338;224;400;238;231.0;3.5;1;[np.float64(1836.0), np.float64(1837.0)];[np.float64(25.909619616131643), np.float64(2.348398208618164)];317.0;83.0;2;3.4674;3.1401;837.123632726704;3.3;158.5;400.0
3;3;there;409;220;457;235;227.5;3.5;1;[np.float64(1864.0)];[np.float64(12.033884644508305)];200.0;200.0;1;3.3318;3.0729;788.3671761018618;3.2;200.0;200.0
4;4;is;466;220;479;235;227.5;0.0;1;[np.float64(1839.0), np.float64(1865.0)];[np.float64(14.903818806141278), np.float64(7.477907332506987)];308.0;124.0;2;3.3189;3.0297;769.2721791354825;3.17;154.0;124.0
5;5;a;488;224;498;235;229.5;2.0;1;[];[];0.0;0.0;0;;;752.9086575808502;;;
6;6;person;506;224;570;239;231.5;2.0;1;[np.float64(1840.0), np.float64(1857.0), np.float64(1863.0), np.float64(1866.0)];[np.float64(34.58727367740241), np.float64(10.694398880004854), np.float64(27.936715212735294), np.float64(21.12215268611908)];609.0;126.0;4;3.3482;3.0747;689.8958407868608;3.21;152.25;126.0
7;7;reclining;579;220;658;239;229.5;2.0;1;[np.float64(1841.0), np.float64(1844.0), np.float64(1856.0), np.float64(1862.0)];[np.float64(31.593012809753418), np.float64(26.69280557198954), np.float64(13.62541604042056), np.float64(18.966406935470022)];917.0;150.0;4;3.3247;3.0488;618.6111832832718;3.19;229.25;150.0
8;8;on;666;224;688;235;229.5;0.0;1;[np.float64(1843.0)];[np.float64(32.28915071487427)];150.0;150.0;1;3.2543;2.9671;597.9122488657003;3.11;150.0;517.0
9;9;a;696;224;706;235;229.5;0.0;1;[];[];0.0;0.0;0;;;584.301102476929;;;
10;10;couch;715;220;771;235;227.5;2.0;1;[np.float64(1842.0), np.float64(1845.0), np.float64(1858.0)];[np.float64(21.821426174857436), np.float64(30.00895287773824), np.float64(27.057251691818237)];634.0;184.0;3;3.3498;3.0219;537.303807924917;3.19;211.3333;884.0
11;11;in;780;220;794;235;227.5;0.0;1;[];[];0.0;0.0;0;;;521.6007125223995;;;
12;12;what;802;220;848;235;227.5;0.0;1;[np.float64(1846.0), np.float64(1859.0)];[np.float64(29.38283956050867), np.float64(17.148564338684082)];367.0;200.0;2;3.409;3.0967;487.0169056000225;3.25;183.5;200.0
13;13;appears;856;224;932;239;231.5;4.0;1;[np.float64(1860.0)];[np.float64(17.161845970153763)];83.0;83.0;1;3.4263;3.0845;437.53716583825934;3.26;83.0;83.0
14;14;to;940;220;957;235;227.5;4.0;1;[];[];0.0;0.0;0;;;429.5844881616918;;;
15;15;be;966;220;988;235;227.5;0.0;1;[np.float64(1861.0)];[np.float64(25.557594473338757)];183.0;183.0;1;3.4114;3.0646;417.0264670404392;3.24;183.0;1150.0
