;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;533;770;582;786;778.0;;1;[np.float64(1418.0)];[np.float64(0.0)];250.0;250.0;1;3.4076;3.1296;403.3748685152945;3.27;250.0;250.0
1;1;type;589;771;628;790;780.5;2.5;1;[];[];0.0;0.0;0;;;357.4444330046597;;;
2;2;of;637;770;654;786;778.0;2.5;1;[];[];0.0;0.0;0;;;331.42530775873666;;;
3;3;furniture;661;770;740;786;778.0;0.0;1;[np.float64(1419.0)];[np.float64(0.0)];124.0;124.0;1;3.4319;3.0948;245.52431422798784;3.26;124.0;124.0
4;4;can;748;774;780;786;780.0;2.0;1;[];[];0.0;0.0;0;;;205.90347562827918;;;
5;5;you;789;774;821;790;782.0;2.0;1;[];[];0.0;0.0;0;;;165.0925171962054;;;
6;6;see;830;774;862;786;780.0;2.0;1;[];[];0.0;0.0;0;;;124.40593712742732;;;
7;7;in;871;770;885;786;778.0;2.0;1;[];[];0.0;0.0;0;;;101.07325861947201;;;
8;8;this;893;770;926;786;778.0;0.0;1;[np.float64(1420.0)];[np.float64(16.92380695343013)];167.0;167.0;1;3.3685;2.9979;60.705037404919686;3.18;167.0;167.0
9;9;image?;934;770;1002;790;780.0;2.0;1;[np.float64(1421.0)];[np.float64(13.68362808227539)];100.0;100.0;1;3.3398;2.9821;13.68362808227539;3.16;100.0;100.0
