;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Title:;270;425;315;440;432.5;;1;[];[];0.0;0.0;0;;;427.2090313838299;;;
1;1;Vehicle;324;425;394;440;432.5;0.0;1;[np.float64(280.0)];[np.float64(16.37694835662836)];300.0;300.0;1;2.5947;2.6976;348.2809061803847;2.65;300.0;300.0
2;2;Noise;403;425;457;440;432.5;0.0;1;[np.float64(279.0)];[np.float64(15.740995025634788)];500.0;500.0;1;2.6327;2.7477;285.3667341845548;2.69;500.0;800.0
3;3;and;465;425;499;440;432.5;0.0;1;[np.float64(278.0)];[np.float64(9.104921102523804)];133.0;133.0;1;2.6077;2.7864;243.44861584882884;2.7;133.0;933.0
4;4;Vibration;507;425;591;440;432.5;0.0;1;[np.float64(281.0)];[np.float64(7.353132941506146)];367.0;367.0;1;2.6145;2.7345;151.78624637993684;2.67;367.0;367.0
5;5;Refinement.;600;425;714;440;432.5;0.0;1;[np.float64(282.0)];[np.float64(6.002096652984619)];133.0;133.0;1;2.6685;2.7976;32.381854512317105;2.73;133.0;133.0
6;6;Topic:;723;425;780;444;434.5;2.0;1;[np.float64(283.0), np.float64(287.0)];[np.float64(2.0296044132926454), np.float64(12.450225921777644)];1592.0;733.0;2;2.6213;2.7615;12.450225921777644;2.69;796.0;733.0
7;7;Woodhead;789;425;891;440;432.5;2.0;1;[];[];0.0;0.0;0;;;49.89744662233542;;;
8;8;Publishing;901;425;998;444;434.5;2.0;1;[np.float64(284.0)];[np.float64(0.0)];200.0;200.0;1;2.6126;2.7405;159.59417778914752;2.68;200.0;200.0
9;9;in;1007;425;1021;440;432.5;2.0;1;[];[];0.0;0.0;0;;;265.61769133377754;;;
10;10;Mechanical;1030;425;1137;440;432.5;0.0;1;[np.float64(285.0), np.float64(286.0)];[np.float64(1.6745227813720476), np.float64(0.0)];375.0;167.0;2;2.576;2.6873;288.57705549356484;2.63;187.5;1234.0
11;11;Engineering.;1146;425;1264;444;434.5;2.0;1;[];[];0.0;0.0;0;;;404.29954958947087;;;
