;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Describe;391;770;472;786;778.0;;1;[];[];0.0;0.0;0;;;213.94694591276217;;;
1;1;the;480;770;509;786;778.0;0.0;1;[np.float64(2236.0)];[np.float64(16.81149931015634)];200.0;200.0;1;2.9189;3.2702;177.0653119443125;3.09;200.0;200.0
2;2;overall;518;770;579;786;778.0;0.0;1;[np.float64(2229.0), np.float64(2237.0)];[np.float64(19.310195662758588), np.float64(16.004125118255615)];633.0;366.0;2;2.9848;3.3629;107.51199124489129;3.17;316.5;366.0
3;3;appearance;587;774;699;790;782.0;4.0;1;[np.float64(2230.0), np.float64(2238.0)];[np.float64(30.035626070840067), np.float64(19.555619921003085)];1400.0;466.0;2;2.8526;3.2193;19.555619921003085;3.04;700.0;466.0
4;4;and;707;770;741;786;778.0;4.0;1;[np.float64(2232.0)];[np.float64(22.224419593811035)];300.0;300.0;1;2.7879;3.1311;26.634037015372655;2.96;300.0;300.0
5;5;atmosphere;750;770;861;790;780.0;2.0;1;[np.float64(2231.0), np.float64(2233.0)];[np.float64(30.648347759246803), np.float64(31.863009929656982)];533.0;333.0;2;2.7377;3.1453;66.46527432149891;2.94;266.5;833.0
6;6;of;870;770;887;786;778.0;2.0;1;[];[];0.0;0.0;0;;;185.27349345706023;;;
7;7;the;894;770;923;786;778.0;0.0;1;[];[];0.0;0.0;0;;;209.19845677063105;;;
8;8;bedroom;932;770;1014;786;778.0;0.0;1;[np.float64(2234.0)];[np.float64(8.59541951908784)];1142.0;1142.0;1;2.8386;3.1474;247.10941294524744;2.99;1142.0;2543.0
9;9;in;1023;770;1037;786;778.0;0.0;1;[];[];0.0;0.0;0;;;337.9774794330255;;;
10;10;the;1045;770;1074;786;778.0;0.0;1;[];[];0.0;0.0;0;;;359.9555893392205;;;
11;11;image.;1083;770;1144;790;780.0;2.0;1;[];[];0.0;0.0;0;;;397.9234775022414;;;
