text;attention
The;0.008936226
image;0.008165935
depicts;0.010789473
a;0.009109546
man;0.009747304
and;0.009197475
a;0.007838646
woman;0.009264511
sitting;0.012515712
on;0.009129293
a;0.008420904
couch;0.012996276
in;0.008771006
a;0.00900681
living;0.008599174
room.;0.016114617
They;0.008995152
are;0.009209617
facing;0.010377818
each;0.0082023265
other;0.008819376
and;0.008696205
appear;0.009221043
to;0.0079220645
be;0.008254833
engaged;0.009189089
in;0.008780239
a;0.008204774
conversation;0.009386502
or;0.00822167
watching;0.008451902
something;0.008603348
together.;0.013943749
The;0.009800651
couch;0.010067279
is;0.009069372
positioned;0.011281896
in;0.008136105
the;0.008441298
center;0.008972106
of;0.008415394
the;0.008087136
room,;0.010773326
with;0.00952106
a;0.009192704
dining;0.009269918
table;0.009840499
and;0.008804129
a;0.008035134
kitchen;0.009066283
area;0.009095739
visible;0.009855657
in;0.008304451
the;0.007898595
background.;0.01395017
There;0.007962343
are;0.008816176
several;0.0092092855
objects;0.011010314
scattered;0.010198214
around;0.008590015
the;0.008171832
room,;0.010021183
including;0.01020573
a;0.008911705
TV,;0.01158498
a;0.007996231
laptop,;0.011443599
a;0.008174707
cell;0.008037901
phone,;0.009619258
and;0.007894553
a;0.0076465663
few;0.007861672
bottles.;0.012065433
A;0.00837149
refrigerator;0.011795904
can;0.009180778
be;0.007955772
seen;0.010259587
in;0.008088403
the;0.007862365
kitchen;0.008149812
area,;0.008912027
and;0.008063135
a;0.007674705
microwave;0.008521583
is;0.007989755
also;0.007773514
present.;0.010306098
The;0.0083788885
living;0.0076879887
room;0.008055344
is;0.008013128
furnished;0.008441657
with;0.00833474
a;0.007993496
chair;0.008800812
and;0.007886626
a;0.008458045
potted;0.009083483
plant,;0.009238941
adding;0.008689747
a;0.007854077
touch;0.007879192
of;0.00786049
greenery;0.009228692
to;0.0075393664
the;0.0073619755
space.;0.007925322
