;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;41.0;5.83;222.7561;382.8537;1.2439;2.6445;0.6923;638.3226;15697.0;23.1;0.3415;0.6341;0.3902;0.5854;0.1951;0.7805;fabricio;1;
1;12.0;7.08;211.0833;300.0;0.8333;2.68;0.4545;587.5;3600.0;23.2;0.5;0.4167;0.5;0.4167;0.3333;0.5833;fabricio;1;
2;66.0;5.61;190.0455;235.8939;0.6818;2.5671;0.7391;462.9429;15569.0;15.2;0.3636;0.6212;0.3333;0.6515;0.303;0.6818;fabricio;1;
3;15.0;4.67;140.1333;187.3333;0.6667;2.6643;0.6364;401.4286;2810.0;15.1;0.3333;0.6;0.4;0.5333;0.2;0.7333;fabricio;1;
4;116.0;4.3;188.1724;234.3793;0.5776;2.5362;0.7794;912.1509;27188.0;25.2;0.3621;0.6293;0.3621;0.6293;0.2931;0.6983;fabricio;1;
5;120.0;4.68;238.275;306.45;0.5583;2.543;0.7353;797.48;36774.0;25.1;0.3;0.6917;0.3;0.6917;0.2917;0.7;fabricio;1;
6;90.0;4.77;253.8667;285.6444;0.6;2.6202;0.8;589.8478;25708.0;27.2;0.3778;0.6111;0.3667;0.6222;0.2556;0.7333;fabricio;1;
7;73.0;4.44;172.274;210.1781;0.6027;2.5395;0.8222;428.3158;15343.0;27.1;0.3836;0.6027;0.3836;0.6027;0.274;0.7123;fabricio;1;
8;85.0;4.95;230.9059;267.4706;0.6;2.5367;0.75;552.7674;22735.0;26.2;0.3765;0.6118;0.3529;0.6353;0.2941;0.6941;fabricio;1;
9;21.0;5.0;196.9048;281.0476;0.7143;2.5745;0.625;536.5455;5902.0;26.1;0.4762;0.4762;0.5238;0.4286;0.381;0.5714;fabricio;1;
10;8.0;4.88;150.0;371.0;1.0;2.7;0.3333;908.5;2968.0;18.1;0.5;0.375;0.375;0.5;0.5;0.375;fabricio;1;
11;7.0;3.71;317.7143;374.8571;0.8571;2.784;0.5714;543.2;2624.0;18.2;0.5714;0.2857;0.5714;0.2857;0.4286;0.4286;fabricio;1;
12;73.0;4.6;126.4795;183.3151;0.5753;2.7581;0.6512;750.4194;13382.0;28.1;0.3151;0.6712;0.3288;0.6575;0.2603;0.726;fabricio;1;
13;28.0;3.18;132.75;132.75;0.3214;2.9433;0.8;413.0;3717.0;28.2;0.3214;0.6429;0.3214;0.6429;0.2857;0.6786;fabricio;1;
14;76.0;4.41;188.1842;234.5789;0.5658;2.9835;0.7045;561.8529;17828.0;12.2;0.4079;0.5789;0.3947;0.5921;0.3289;0.6579;fabricio;1;
15;16.0;4.19;154.75;167.25;0.4375;3.0717;0.625;446.0;2676.0;12.1;0.25;0.6875;0.25;0.6875;0.25;0.6875;fabricio;1;
16;7.0;3.43;228.5714;395.1429;0.8571;3.14;0.4286;922.0;2766.0;13.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;fabricio;1;
17;98.0;4.2;166.3469;191.4694;0.5918;2.875;0.7966;414.1277;18764.0;13.2;0.3878;0.602;0.3776;0.6122;0.2857;0.7041;fabricio;1;
18;14.0;6.0;226.6429;295.1429;0.8571;3.0511;0.4615;710.8889;4132.0;29.2;0.6429;0.2857;0.4286;0.5;0.4286;0.5;fabricio;1;
19;3.0;5.0;425.0;425.0;0.3333;3.21;0.0;1275.0;1275.0;29.1;0.0;0.6667;0.0;0.6667;0.0;0.6667;fabricio;1;
20;101.0;4.92;152.2475;179.802;0.495;2.8883;0.7843;457.5854;18160.0;14.2;0.3267;0.6634;0.3168;0.6733;0.2574;0.7327;fabricio;1;
21;112.0;5.06;192.9643;240.6696;0.5625;2.8741;0.7812;550.102;26955.0;14.1;0.3482;0.6429;0.3571;0.6339;0.2857;0.7054;fabricio;1;
22;2.0;9.5;1087.5;1087.5;1.0;3.14;0.0;1375.0;2175.0;17.1;0.5;0.0;0.5;0.0;0.0;0.5;fabricio;1;
23;35.0;5.66;164.2571;233.3429;0.6857;2.9233;0.6;520.3889;8167.0;17.2;0.3714;0.6;0.3429;0.6286;0.2571;0.7143;fabricio;1;
24;7.0;5.29;186.8571;229.7143;0.5714;3.11;0.4;536.0;1608.0;11.1;0.4286;0.4286;0.4286;0.4286;0.2857;0.5714;fabricio;1;
25;15.0;5.07;280.5333;280.5333;0.4;3.0533;0.7143;701.3333;4208.0;11.2;0.3333;0.6;0.3333;0.6;0.3333;0.6;fabricio;1;
26;58.0;3.9;170.0172;180.931;0.4483;2.9121;0.8148;462.25;10494.0;6.1;0.3276;0.6552;0.3276;0.6552;0.2414;0.7414;fabricio;1;
27;57.0;4.12;172.5263;192.5439;0.4386;2.8986;0.8077;511.0;10975.0;6.2;0.2982;0.6842;0.3158;0.6667;0.2632;0.7193;fabricio;1;
28;82.0;4.55;206.7073;241.439;0.5244;2.8456;0.7727;629.8529;19798.0;4.1;0.3049;0.6829;0.3049;0.6829;0.2561;0.7317;fabricio;1;
29;101.0;5.11;161.4059;168.7525;0.5347;2.8354;0.8545;354.88;17044.0;4.2;0.3861;0.604;0.3663;0.6238;0.3168;0.6733;fabricio;1;
30;110.0;4.23;211.0455;268.5364;0.5273;2.8721;0.7288;777.9286;29539.0;24.2;0.2818;0.7091;0.2818;0.7091;0.2909;0.7;fabricio;1;
31;106.0;4.65;143.1604;200.1509;0.5472;2.8695;0.7458;597.0732;21216.0;24.1;0.2925;0.6981;0.2736;0.717;0.2547;0.7358;fabricio;1;
32;74.0;4.62;218.1486;274.3514;0.4595;2.8541;0.8;705.8276;20302.0;9.1;0.3243;0.6622;0.3243;0.6622;0.2838;0.7027;fabricio;1;
33;59.0;4.58;145.8814;193.4407;0.6102;2.8579;0.7838;473.84;11413.0;9.2;0.3051;0.678;0.3051;0.678;0.1864;0.7966;fabricio;1;
34;39.0;4.72;208.6154;210.5128;0.4615;2.8976;0.7895;509.9412;8210.0;3.2;0.3846;0.5897;0.359;0.6154;0.359;0.6154;fabricio;1;
35;108.0;4.56;129.3796;169.25;0.4444;2.7649;0.7551;569.8571;18279.0;3.1;0.2778;0.713;0.2685;0.7222;0.2407;0.75;fabricio;1;
36;30.0;4.3;142.6;182.3333;0.5667;2.8436;0.7222;390.7143;5470.0;8.1;0.3333;0.6333;0.3;0.6667;0.3;0.6667;fabricio;1;
37;16.0;4.62;187.4375;254.1875;0.625;2.9671;0.6364;581.0;4067.0;8.2;0.375;0.5625;0.375;0.5625;0.375;0.5625;fabricio;1;
38;2.0;5.5;763.0;763.0;0.5;3.03;0.0;1526.0;1526.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;fabricio;1;
39;47.0;4.43;114.2979;114.2979;0.4255;2.771;0.9048;268.6;5372.0;7.2;0.383;0.5957;0.383;0.5957;0.2979;0.6809;fabricio;1;
40;21.0;4.48;128.619;239.3333;0.6667;2.8889;0.5333;640.0;5026.0;16.1;0.3333;0.619;0.3333;0.619;0.3333;0.619;fabricio;1;
41;38.0;4.76;112.5;160.7105;0.5263;2.9229;0.8095;532.0;6107.0;16.2;0.2895;0.6842;0.2632;0.7105;0.2368;0.7368;fabricio;1;
42;19.0;3.89;247.7895;270.2105;0.4211;2.9267;0.6667;855.6667;5134.0;19.2;0.3158;0.6316;0.3158;0.6316;0.2632;0.6842;fabricio;1;
43;115.0;4.5;210.0348;252.0696;0.5652;2.7827;0.803;563.8654;28988.0;19.1;0.3826;0.6087;0.3913;0.6;0.3217;0.6696;fabricio;1;
44;48.0;4.04;98.3542;147.3125;0.5208;2.8407;0.7308;558.1333;7071.0;22.1;0.25;0.7292;0.2292;0.75;0.2292;0.75;fabricio;1;
45;8.0;6.5;258.25;287.375;0.625;2.905;0.5;574.75;2299.0;22.2;0.375;0.5;0.375;0.5;0.375;0.5;fabricio;1;
46;72.0;4.94;195.3194;227.3611;0.5972;2.9035;0.7727;511.6471;16370.0;10.2;0.3333;0.6528;0.2917;0.6944;0.2639;0.7222;fabricio;1;
47;93.0;5.25;169.2473;200.0538;0.6022;2.7622;0.807;449.0638;18605.0;10.1;0.3226;0.6667;0.3226;0.6667;0.2473;0.7419;fabricio;1;
48;55.0;4.58;198.7455;253.0182;0.6727;2.8864;0.7632;537.7857;13916.0;5.2;0.4;0.5818;0.3818;0.6;0.3636;0.6182;fabricio;1;
49;89.0;4.3;157.3146;177.5393;0.4944;2.8285;0.8444;405.1538;15801.0;5.1;0.3708;0.618;0.3708;0.618;0.2809;0.7079;fabricio;1;
50;53.0;4.98;150.9623;178.8302;0.4717;2.8038;0.7692;591.1429;9478.0;30.1;0.3396;0.6415;0.3396;0.6415;0.2264;0.7547;fabricio;1;
51;41.0;4.0;101.8049;127.0244;0.4146;2.8362;0.7778;447.3846;5208.0;30.2;0.2439;0.7317;0.2439;0.7317;0.2439;0.7317;fabricio;1;
52;46.0;4.07;96.913;159.9348;0.5;2.83;0.5833;525.5;7357.0;1.2;0.2391;0.7391;0.2609;0.7174;0.1739;0.8043;fabricio;1;
53;12.0;4.17;150.0;150.0;0.4167;3.074;0.6667;360.0;1800.0;1.1;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;fabricio;1;
54;34.0;3.79;190.3529;224.6765;0.5;2.83;0.7222;524.8;7639.0;20.2;0.3529;0.6176;0.3529;0.6176;0.3529;0.6176;fabricio;1;
55;89.0;4.64;119.4382;151.3708;0.4382;2.782;0.825;477.9333;13472.0;20.1;0.2584;0.7303;0.2472;0.7416;0.1798;0.809;fabricio;1;
56;55.0;4.0;161.9455;208.7636;0.5818;2.7952;0.7576;520.0833;11482.0;21.1;0.3273;0.6545;0.3091;0.6727;0.3091;0.6727;fabricio;1;
57;136.0;4.16;171.1471;186.4118;0.4044;3.1094;0.8393;542.2553;25352.0;21.2;0.2868;0.7059;0.2794;0.7132;0.2721;0.7206;fabricio;1;
58;30.0;4.3;195.9;222.8333;0.4333;3.2291;0.7143;622.8182;6685.0;2.2;0.3;0.6667;0.3;0.6667;0.2667;0.7;fabricio;1;
59;41.0;4.32;109.1707;118.0976;0.439;3.1037;0.7895;302.625;4842.0;2.1;0.3415;0.6341;0.3415;0.6341;0.3171;0.6585;fabricio;1;
60;13.0;3.85;164.1538;233.4615;0.8462;2.6714;0.5;466.8571;3035.0;23.0;0.5385;0.3846;0.4615;0.4615;0.4615;0.4615;fabricio;1;
61;8.0;3.88;25.0;25.0;0.125;2.61;0.0;200.0;200.0;15.0;0.125;0.75;0.125;0.75;0.125;0.75;fabricio;1;
62;9.0;4.89;182.5556;301.1111;0.6667;2.372;0.4286;615.4;2710.0;25.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;fabricio;1;
63;8.0;4.12;195.875;320.875;0.75;2.5725;0.4286;766.75;2567.0;27.0;0.375;0.5;0.25;0.625;0.375;0.5;fabricio;1;
64;12.0;4.17;143.9167;252.9167;0.6667;2.4733;0.5556;505.8333;3035.0;26.0;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;fabricio;1;
65;9.0;4.11;171.1111;189.6667;0.6667;2.62;0.5714;441.4;1707.0;18.0;0.4444;0.4444;0.3333;0.5556;0.3333;0.5556;fabricio;1;
66;7.0;3.43;110.7143;110.7143;0.2857;2.715;0.3333;387.5;775.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;fabricio;1;
67;8.0;4.25;180.25;240.625;0.875;2.95;0.5;440.0;1925.0;12.0;0.375;0.5;0.375;0.5;0.25;0.625;fabricio;1;
68;10.0;3.2;120.0;120.0;0.4;2.77;0.6;300.0;1200.0;13.0;0.4;0.5;0.4;0.5;0.3;0.6;fabricio;1;
