;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;568;770;617;786;778.0;;1;[];[];0.0;0.0;0;;;137.8791145911582;;;
1;1;is;625;770;638;786;778.0;0.0;1;[];[];0.0;0.0;0;;;116.87911459115821;;;
2;2;the;646;770;675;786;778.0;0.0;1;[np.float64(2054.0)];[np.float64(7.107965060642755)];350.0;350.0;1;3.1142;3.073;79.87911459115821;3.09;350.0;350.0
3;3;size;683;770;719;786;778.0;0.0;1;[np.float64(2053.0)];[np.float64(35.39828538894665)];100.0;100.0;1;3.1354;3.1039;35.87911459115821;3.12;100.0;450.0
4;4;of;727;770;745;786;778.0;0.0;1;[];[];0.0;0.0;0;;;9.879114591158213;;;
5;5;the;752;770;780;786;778.0;0.0;1;[np.float64(2055.0)];[np.float64(0.0)];217.0;217.0;1;3.0811;3.0252;0.0;3.05;217.0;217.0
6;6;bowl;789;770;831;786;778.0;0.0;1;[np.float64(2041.0)];[np.float64(5.944044828414803)];133.0;133.0;1;3.1288;3.0924;34.12088540884179;3.11;133.0;133.0
7;7;in;840;770;854;786;778.0;0.0;1;[];[];0.0;0.0;0;;;85.12088540884179;;;
8;8;the;862;770;891;786;778.0;0.0;1;[np.float64(2043.0)];[np.float64(0.0)];84.0;84.0;1;3.0195;2.9741;107.12088540884179;3.0;84.0;84.0
9;9;image?;900;770;967;790;780.0;2.0;2;[np.float64(2042.0), np.float64(2044.0)];[np.float64(0.0), np.float64(0.0)];367.0;150.0;2;3.0376;2.979;145.1208854088418;3.01;183.5;1118.0
