text;attention
My;2.3274446e-05
goal;1.617689e-05
is;1.5076907e-05
not;1.5819704e-05
to;1.6561142e-05
be;1.558612e-05
better;1.6637841e-05
than;1.707514e-05
anyone;1.4110555e-05
else,;3.2283795e-05
but;1.5461215e-05
rather;1.49445195e-05
to;1.7040164e-05
use;2.046923e-05
my;1.7685135e-05
own;1.4832577e-05
abilities;1.5955338e-05
and;1.4029336e-05
passions;1.7960125e-05
in;1.4456162e-05
order;1.3915817e-05
to;1.5108039e-05
achieve;1.48562485e-05
success.;0.33173302
|;1.44323285e-05
am;1.9314819e-05
a;1.7596358e-05
person;1.6781758e-05
who;1.8542456e-05
values;2.7342494e-05
self-improvement;3.9456223e-05
and;1.6672406e-05
growth;1.52017665e-05
as;1.4840062e-05
much;1.4797001e-05
as;1.5020175e-05
others;1.4990654e-05
do.;0.34052086
The;2.1402731e-05
phrase;1.7721182e-05
"""my";3.9555125e-05
goal;1.478074e-05
is;1.435654e-05
not;1.4222025e-05
to;1.5250964e-05
be;1.47264855e-05
better;1.5436064e-05
than;1.7356493e-05
anyone;1.4008225e-05
"else""";2.6924057e-05
reflects;1.8172386e-05
my;1.9992678e-05
determination;1.6765267e-05
for;2.12918e-05
personal;1.7638664e-05
development;1.6750993e-05
and;1.6652511e-05
progress.;0.26439688
It;2.4172141e-05
emphasizes;1.9601066e-05
that;1.8680988e-05
|;1.3422898e-05
will;2.1095562e-05
strive;1.5988178e-05
to;1.6820373e-05
improve;1.4948156e-05
myself;2.0679372e-05
regardless;1.9902242e-05
of;1.5260071e-05
external;1.5159768e-05
factors;1.5320355e-05
or;1.6560529e-05
competition.;0.062114425
